Ball ID,Over/Ball,Innings,Team,Batsman,Bowler,Commentary
1789318243238,11.6,2,IND,Ishan Kishan,Rashid Khan,"Rashid Khan to Ishan Kishan, 1 run, drifting on the pads, nudged through backward square leg for a single"
1789318243248,$undefined,2,IND,,,<b>121 off 53 balls </b>at a rate of 13.70/over bw Abhishek & Ishan – the highest ever in a 100+ partnership against Afghanistan in T20Is.<br>Previous: 12.25 (190* off 93 balls) bw Rohit & Rinku in Bengaluru in 2024
1789318298179,12.1,2,IND,Ishan Kishan,Mohammad Nabi,"Mohammad Nabi to Ishan Kishan, <b>FOUR</b>, <b>as straight as an arrow!</b> Bludgeons this right past the bowler and manages to beat the fielder sprinting across at long-on"
1789318326284,12.2,2,IND,Ishan Kishan,Mohammad Nabi,"Mohammad Nabi to Ishan Kishan, 1 run, smashed through cover by Ishan Kishan, however, there's a fielder placed in the deep"
1789318361654,12.3,2,IND,Shreyas Iyer,Mohammad Nabi,"Mohammad Nabi to Shreyas Iyer, 1 run, darted at the pads, Shreyas Iyer clips it through mid-wicket"
1789318397831,$undefined,2,IND,Ishan Kishan,Mohammad Nabi,"Mohammad Nabi to Ishan Kishan, <b>THATS OUT!!</b> Caught!!"
1789318399213,12.4,2,IND,Ishan Kishan,Mohammad Nabi,"Mohammad Nabi to Ishan Kishan, <b>out</b> Caught by Rashid Khan!! Rashid Khan with another outstanding catch. One of the best fielders in that Afghanistan team, without a doubt. Ishan Kishan had smashed this hard towards long-on, and Rashid Khan in the deep grabbed it above his head. Manages to stay away from the cushions as well. In complete control of the catch as he shows off his balancing skills at the edge of the boundary. India just a hit away from an emphatic win. <b>Ishan Kishan c Rashid Khan b Mohammad Nabi 42(33) [4s-5 6s-1]</b>"
1789318483371,$undefined,2,IND,Tilak Varma,Mohammad Nabi,"<b>Tilak Varma, left handed bat, comes to the crease</b>"
1789318527629,12.5,2,IND,Tilak Varma,Mohammad Nabi,"Mohammad Nabi to Tilak Varma, no run, tossed up delivery around off, knocked down the pitch by Tilak Varma"
1789318543915,12.6,2,IND,Tilak Varma,Mohammad Nabi,"Mohammad Nabi to Tilak Varma, no run, fraction short around off, punched towards cover by Tilak Varma"
1789318599138,13.1,2,IND,Shreyas Iyer,Rashid Khan,"Rashid Khan to Shreyas Iyer, 1 run, flatter through the air around middle and leg, Shreyas Iyer clips it through the leg-side for a single"
1789318637028,13.2,2,IND,Tilak Varma,Rashid Khan,"Rashid Khan to Tilak Varma, 1 run, tad short on off, knocked along the carpet to long-off for a single"
1789318664142,13.3,2,IND,Shreyas Iyer,Rashid Khan,"Rashid Khan to Shreyas Iyer, 1 run, googly by Rashid Khan down the leg-side, Shreyas Iyer clips it towards short fine leg for one more. Rashid Khan needed a better effort by the fielder stationed at short fine"
1789318725904,13.4,2,IND,Tilak Varma,Rashid Khan,"Rashid Khan to Tilak Varma, 2 runs, <b>India win by 7 wickets!</b> That's an overthrow to draw curtains to the game. A slightly short ball outside off, Tilak Varma steers it towards backward point and calls for a single. The fielder stationed there gathers the ball and fires a throw at the bowler's end, but he misses by a long way. They come back for the second and that's game, set, match. Handshakes between the players as they start heading back towards the dressing room.."
1789318825703,$undefined,2,IND,,,$2a
1789318825714,$undefined,2,IND,,,<i>Stats by Deepu Narayanan</i><br><br><b>Most POTM awards in T20Is since Abhishek’s debut (FM sides) </b><br>7 Brian Bennett & Sikander Raza <br><i>6 Sahibzada Farhan & Abhishek Sharma</i><br><br><i>India’s spinners bowled 60.7% of balls in the good length band (4-6m) and returned figures of 2/26 (ER 4.59); </i>Afghanistan spinners only managed 53.1% of balls in this zone for 1/48 (ER 8.47). India hit six boundaries off 31 good length balls compared to two in 34 by Afghanistan.<br><br><b>Wins vs most balls to spare vs Afghanistan since they became a FM side </b><br>67 by SA Tarouba 2024 (Tar: 57) <br><i>38 by Ind Delhi 2026 (Tar: 157)</i><br>26 by Ind Indore 2024 (Tar: 173)<br><br><b>Most successive defeats vs India in completed T20Is </b><br>9* by Bangladesh (2019-25)<br><i>9* by Afghanistan (2010-26) </i><br>8* by Zimbabwe (2024-26) <br>8 by Bangladesh (2009-18) <br>8 by Ireland (2009-24)
1789320117308,$undefined,2,IND,,,$29
1789320456880,$undefined,2,IND,,,"<b>Ibrahim Zadran | Afghanistan captain:</b> [On the result and not putting enough runs on the board] Yeah, we didn’t get the result what we wanted. I would say we had three overs good start, then we didn’t contribute well. We given them back-to-back wickets and they have put pressure on us, and we batted well in the middle overs, but we didn’t put lots of runs on the board what we wanted. Their bowlers and their fielders did really well, I would say that run-out, was the turning point. Ishan Kishan grabbed the ball and threw it to the bowler. Yeah, I would say that was the turning point, they got the momentum. [On the two key wickets of Rahmanullah Gurbaz and Azmatullah Omarzai] Yeah, exactly, they’re the best fielding side and as I mentioned, the way Ishan Kishan picked the ball and threw it perfectly, so it was the turning point, and Gurbaz didn’t have, his day. I would say he will come back stronger. We expect that from him and yes, India did well with the bowling and fielding department."
1789320456890,$undefined,2,IND,,,$28
1789320456900,$undefined,2,IND,,,"A dominant win has given India a 1-0 lead in the three-match T20I series. Jasprit Bumrah’s return has worked wonders, with India looking a class apart with the pace spearhead back in the mix. Abhishek Sharma’s explosive knock was another major highlight for the Men in Blue. He single-handedly took the game away from Afghanistan with some sensational hitting, inflicting serious damage along the way. Afghanistan will need to come up with much better plans to contain him when the two sides meet again on Tuesday. For now, this is <b>Nikhil</b> signing off on behalf of <b>Sri Krishna</b> and <b>Harish.</b> Take care!"
