Ball ID,Over/Ball,Innings,Team,Batsman,Bowler,Commentary
1786556845756,46.5,2,IRE,Curtis Campher,Zia Ur Rahman Sharifi,"Zia Ur Rahman Sharifi to Curtis Campher, 1 run, yorker outside off, Campher digs it out to the off-side"
1786556887812,46.6,2,IRE,Liam McCarthy,Zia Ur Rahman Sharifi,"Zia Ur Rahman Sharifi to Liam McCarthy, no run, angling into the left-hander, McCarthy tucks it to mid-wicket"
1786556950387,$undefined,2,IRE,Curtis Campher,Ahmadzai,<b>Yamin Ahmadzai [9.0-0-62-2] is back into the attack</b>
1786556969062,$undefined,2,IRE,Curtis Campher,Ahmadzai,"Ahmadzai to Curtis Campher, <b>THATS OUT!!</b> Caught!!"
1786556971302,47.1,2,IRE,Curtis Campher,Yamin Ahmadzai,"Ahmadzai to Curtis Campher, <b>out</b> Caught by Rahmat Shah!! End of a fine knock from Campher. He gave Ireland an outside chance with his knock. Has to depart now as he tries to go over covers. Ahmadzai bowls it very wide of off making him reach out for the ball and ends up hitting it of the toe end to covers. Rahmat settles under a skier and takes a good catch. <b>Curtis Campher c Rahmat Shah b Ahmadzai 84(46) [4s-8 6s-5]</b>"
1786556971337,$undefined,2,IRE,,,The light is fading now as the eclipse sets in.
1786556990602,$undefined,2,IRE,Byron McDonough,Ahmadzai,"<b>Byron McDonough, right handed bat, comes to the crease</b>"
1786557054353,47.2,2,IRE,Byron McDonough,Yamin Ahmadzai,"Ahmadzai to Byron McDonough, <b>wide</b>, short and well outside off, wide called"
1786557100864,47.2,2,IRE,Byron McDonough,Yamin Ahmadzai,"Ahmadzai to Byron McDonough, 1 run, full on the pads, flicked to the on-side"
1786557138670,47.3,2,IRE,Liam McCarthy,Yamin Ahmadzai,"Ahmadzai to Liam McCarthy, <b>FOUR</b>, short delivery on middle, McCarthy goes on the back foot and gives it all as he pulls it to deep mid-wicket"
1786557181176,47.4,2,IRE,Liam McCarthy,Yamin Ahmadzai,"Ahmadzai to Liam McCarthy, 1 run, yorker on off, driven to cover for a risky single"
1786557236127,47.5,2,IRE,Byron McDonough,Yamin Ahmadzai,"Ahmadzai to Byron McDonough, 2 runs, 300 up for Ireland. McDonough opens the bat face and steers it past deep point for a brace"
1786557415652,$undefined,2,IRE,Byron McDonough,Ahmadzai,"Ahmadzai to Byron McDonough, <b>THATS OUT!!</b> Caught!!"
1786557417296,47.6,2,IRE,Byron McDonough,Yamin Ahmadzai,"Ahmadzai to Byron McDonough, <b>out</b> Caught by Sediqullah Atal!! What a catch by Sediqullah to end the game. Taken right on the boundary. McDonough flicks it up in the air, times it really well and the ball flies straight to him at deep mid-wicket. Sediqullah keeps his eyes on the ball and takes the catch just inside the boundary rope. Stay calm and completes the catch. Handshakes allround as Afghanistan win by 42 runs. <b>Byron McDonough c Sediqullah Atal b Ahmadzai 3(3)</b>"
1786557507744,$undefined,2,IRE,,,"<b>18:58 Local Time, 17:58 GMT, 23:28 IST:</b> Chasing a huge target of 344 runs, Ireland were never really in the game right from the start. Their openers played too carefully, which allowed the required run rate to keep climbing. Most of the Irish batters either struggled to score quickly or gave away their wickets just as they got going. Andy Balbirnie fought hard, but wasn't enough for Ireland. However, when Rashid Khan got him out, Ireland's hopes completely died with 129 runs still needed from 59 balls. Rashid was brilliant with the ball, finishing his 10 overs with figures of 3 for 49. Right after finishing his bowling spell, Rashid made another imapct in the game by taking an amazing one handed catch at cover to dismiss Mark Adair."
1786557745047,$undefined,2,IRE,,,"Curtis Campher gave Ireland a tiny bit of hope near the end with a fiery knock. He reached his fifty off just 34 balls and went on to score 84 off 46 deliveries. His brilliant hitting brought the equation down to 51 runs needed off the last 18 balls. But once Campher was caught at covers the fight was over, and Ireland finished their innings on 301. Stay tuned as we bring the post-match presentations.."
1786557863554,$undefined,2,IRE,,,$2a
1786558201234,$undefined,2,IRE,,,$29
1786558508446,$undefined,2,IRE,,,$28
1786558532069,$undefined,2,IRE,,,"That wraps up our coverage of Afghanistan's impressive victory! With this win, Afghanistan now lead the five-match series 3-0 with just one game left to play. Thank you so much for hanging out and following the match along with me. Catch you next time, and bye for now!"
