Ball ID,Over/Ball,Innings,Team,Batsman,Bowler,Commentary
1789724346792,31.4,1,AUS,Cooper Connolly,Wessly Madhevere,"Madhevere to Cooper Connolly, no run, punched to short cover"
1789724356154,31.5,1,AUS,Cooper Connolly,Wessly Madhevere,"Madhevere to Cooper Connolly, 1 run, punches it to sweeper cover"
1789724380012,31.6,1,AUS,Josh Inglis,Wessly Madhevere,"Madhevere to Josh Inglis, 1 run, goes back and clips it through midwicket"
1789724445934,32.1,1,AUS,Josh Inglis,Newman Nyamhuri,"Newman Nyamhuri to Josh Inglis, no run, short and wide, Inglis slaps hard but finds backward point. Was a slower one that sat up, and Inglis will be disappointed at missing out"
1789724475811,32.2,1,AUS,Josh Inglis,Newman Nyamhuri,"Newman Nyamhuri to Josh Inglis, 1 run, reaches out to a wide one and carves it down to third man"
1789724517233,32.3,1,AUS,Cooper Connolly,Newman Nyamhuri,"Newman Nyamhuri to Cooper Connolly, 2 runs, slow, short and wide, Connolly slaps it through extra cover and is back for two"
1789724550742,32.4,1,AUS,Cooper Connolly,Newman Nyamhuri,"Newman Nyamhuri to Cooper Connolly, <b>wide</b>, slower bumper wide of off, left alone"
1789724578550,32.4,1,AUS,Cooper Connolly,Newman Nyamhuri,"Newman Nyamhuri to Cooper Connolly, 2 runs, full outside off, driven crisply wide of sweeper cover and they're back for two"
1789724603624,32.5,1,AUS,Cooper Connolly,Newman Nyamhuri,"Newman Nyamhuri to Cooper Connolly, <b>wide</b>, slower short ball down leg, he lets it go"
1789724640841,32.5,1,AUS,Cooper Connolly,Newman Nyamhuri,"Newman Nyamhuri to Cooper Connolly, 1 run, short of length outside off, he pulls hard to the right of midwicket who makes a good diving stop"
1789724672080,32.6,1,AUS,Josh Inglis,Newman Nyamhuri,"Newman Nyamhuri to Josh Inglis, 1 run, back of a length around off, Inglis opens the face and dabs it down to third man"
1789724735544,33.1,1,AUS,Josh Inglis,Wessly Madhevere,"Madhevere to Josh Inglis, 2 runs, on the shorter side outside off, Josh Inglis punches it through cover for two runs"
1789724759865,33.2,1,AUS,Josh Inglis,Wessly Madhevere,"Madhevere to Josh Inglis, <b>FOUR</b>, goes down on his knee and reverse laps this very fine, managing to beat the fielder chasing it from short third man"
1789724795335,33.3,1,AUS,Josh Inglis,Wessly Madhevere,"Madhevere to Josh Inglis, 1 run, fraction short on middle and leg, clipped through mid-wicket for a single"
1789724820966,33.4,1,AUS,Cooper Connolly,Wessly Madhevere,"Madhevere to Cooper Connolly, no run, loopy delivery around off, on the fuller side, pushed to cover by Cooper Connolly"
1789724833921,33.5,1,AUS,Cooper Connolly,Wessly Madhevere,"Madhevere to Cooper Connolly, no run, quicker through the air on off, tad fuller as Cooper Connolly knocks it to cover"
1789724861378,33.6,1,AUS,Cooper Connolly,Wessly Madhevere,"Madhevere to Cooper Connolly, 2 runs, flicked through mid-wicket as the bowler goes full, two runs to end the over. Without any risk, they've scored 9 off the over"
1789724923713,$undefined,1,AUS,Josh Inglis,Wellington Masakadza,<b>Wellington Masakadza [5.0-0-25-1] is back into the attack</b>
1789724926479,$undefined,1,AUS,Josh Inglis,Wellington Masakadza,"Wellington Masakadza to Josh Inglis, <b>THATS OUT!!</b> Caught&Bowled!!"
1789724927622,34.1,1,AUS,Josh Inglis,Wellington Masakadza,"Wellington Masakadza to Josh Inglis, <b>out</b> Caught&Bowled!! That's a soft dismissal. Slower through the air on a length, and the ball arrives slightly late than the batsman anticipated. Checks his shot, and ends up chipping it right back to the bowler. Wellington Masakadza completes an easy catch, and the 39-run stand has been broken by the spinner. That's his second wicket, and it shall be drinks break. <b>Josh Inglis c and b Wellington Masakadza 21(20) [4s-2]</b>"
1789725166378,$undefined,1,AUS,Alex Carey,Wellington Masakadza,"<b>Alex Carey, left handed bat, comes to the crease</b>"
1789725191608,34.2,1,AUS,Alex Carey,Wellington Masakadza,"Wellington Masakadza to Carey, no run, goes down on his knee to reverse sweep this towards backward point"
1789725216190,34.3,1,AUS,Alex Carey,Wellington Masakadza,"Wellington Masakadza to Carey, 1 run, tad short on leg, clipped through square leg for a single"
1789725233538,34.4,1,AUS,Cooper Connolly,Wellington Masakadza,"Wellington Masakadza to Cooper Connolly, no run, quicker through the air outside off, Cooper Connolly goes for a cut and misses, that kept a touch low"
1789725251543,34.5,1,AUS,Cooper Connolly,Wellington Masakadza,"Wellington Masakadza to Cooper Connolly, no run, on a length around off, knocked to wide mid-off by Cooper Connolly"
1789725262811,34.6,1,AUS,Cooper Connolly,Wellington Masakadza,"Wellington Masakadza to Cooper Connolly, no run"
1789725331329,$undefined,1,AUS,Alex Carey,Sikandar Raza,<b>Sikandar Raza [6.0-0-34-0] is back into the attack</b>
