Ball ID,Over/Ball,Innings,Team,Batsman,Bowler,Commentary
1786119202172,$undefined,$undefined,,,,"<b>Brazil</b> Squad: Michel Assuncao(c), Lucas Maximo(w), William Maximo, Yasar Haroon, Luiz Muller, Gabriel Oliveira, Chrystian Machado, Richard Avery, Luiz Morais, Luiz Gabriel Moras, MD Rejaul Karim, Riquelmi Nascimento, Breno Passoni, Luiz Goncalves, Miguel Silva, Gabriel Otavio"
1786119233493,$undefined,$undefined,,,,"<b>Mexico</b> Squad: Devon Ebersohn(w), Pratik Singh Bais(c), Gutierrez Chavez, Yashvanth Jasti, Dhananjaya Panda, Jayanth Byrappa, Bhargav Narasimha, Matt Noble, Sai Tallapragada, Waseem Tabrez, Mohit Sharma"
1786119235877,$undefined,$undefined,,,,<b>Squads:</b>
1786205034847,$undefined,$undefined,,,,<b>Mexico have won the toss and have opted to field</b>
1786205436385,$undefined,$undefined,,,,"<b>Brazil</b> (Playing XI): William Maximo, Luiz Morais, Chrystian Machado, Michel Assuncao(c), Yasar Haroon, Luiz Gabriel Moras, MD Rejaul Karim, Lucas Maximo(w), Gabriel Otavio, Riquelmi Nascimento, Miguel Silva"
1786205584418,$undefined,$undefined,,,,"<b>Mexico</b> (Playing XI): Jayanth Byrappa, Shashikant Laxman Hirugade, Sai Tallapragada(w), Bhargav Narasimha, Pratik Singh Bais(c), Dhananjaya Panda, Gutierrez Chavez, Matt Noble, Mohit Sharma, Waseem Tabrez, Yashvanth Jasti"
1786205603488,$undefined,$undefined,,,,<b>Teams:</b>
1786206197914,$undefined,1,BRAZIL,,,<b>William Maximo and Luiz Morais are at the crease. William Maximo is on strike. Pratik Singh will open the attack</b>
1786206200757,0.1,1,BRAZIL,William Maximo,Pratik Singh Bais,"Pratik Singh to William Maximo, no run"
1786206201076,0.2,1,BRAZIL,William Maximo,Pratik Singh Bais,"Pratik Singh to William Maximo, no run"
1786206203230,0.3,1,BRAZIL,William Maximo,Pratik Singh Bais,"Pratik Singh to William Maximo, 1 run"
1786206204644,0.4,1,BRAZIL,Luiz Morais,Pratik Singh Bais,"Pratik Singh to Luiz Morais, 2 runs"
1786206206328,0.5,1,BRAZIL,Luiz Morais,Pratik Singh Bais,"Pratik Singh to Luiz Morais, no run"
1786206207424,0.6,1,BRAZIL,Luiz Morais,Pratik Singh Bais,"Pratik Singh to Luiz Morais, 1 run"
1786206212928,$undefined,1,BRAZIL,Luiz Morais,Yashvanth Jasti,"<b>Yashvanth Jasti, comes into the attack</b>"
1786206343601,1.1,1,BRAZIL,Luiz Morais,Yashvanth Jasti,"Yashvanth Jasti to Luiz Morais, no run"
1786206343852,1.2,1,BRAZIL,Luiz Morais,Yashvanth Jasti,"Yashvanth Jasti to Luiz Morais, no run"
1786206346613,1.3,1,BRAZIL,Luiz Morais,Yashvanth Jasti,"Yashvanth Jasti to Luiz Morais, 1 run"
1786206348727,1.4,1,BRAZIL,William Maximo,Yashvanth Jasti,"Yashvanth Jasti to William Maximo, no run"
1786206350339,1.5,1,BRAZIL,William Maximo,Yashvanth Jasti,"Yashvanth Jasti to William Maximo, 1 run"
1786206352739,1.6,1,BRAZIL,Luiz Morais,Yashvanth Jasti,"Yashvanth Jasti to Luiz Morais, <b>wide</b>"
1786206354729,1.6,1,BRAZIL,Luiz Morais,Yashvanth Jasti,"Yashvanth Jasti to Luiz Morais, 2 runs"
1786206364826,$undefined,1,BRAZIL,William Maximo,Mohit Sharma,"<b>Mohit Sharma, right-arm medium, comes into the attack</b>"
1786206429383,2.1,1,BRAZIL,William Maximo,Mohit Sharma,"Mohit Sharma to William Maximo, <b>wide</b>"
1786206431623,$undefined,1,BRAZIL,William Maximo,Mohit Sharma,"Mohit Sharma to William Maximo, <b>THATS OUT!!</b> Bowled!!"
1786206432390,2.1,1,BRAZIL,William Maximo,Mohit Sharma,"Mohit Sharma to William Maximo, <b>out</b> Bowled!! <b>William Maximo b Mohit Sharma 2(6)</b>"
1786206435119,$undefined,1,BRAZIL,Chrystian Machado,Mohit Sharma,"<b>Chrystian Machado, right handed bat, comes to the crease</b>"
1786206437920,2.2,1,BRAZIL,Chrystian Machado,Mohit Sharma,"Mohit Sharma to Chrystian Machado, 1 run"
1786206440635,2.3,1,BRAZIL,Luiz Morais,Mohit Sharma,"Mohit Sharma to Luiz Morais, 1 run"
1786206442773,2.4,1,BRAZIL,Chrystian Machado,Mohit Sharma,"Mohit Sharma to Chrystian Machado, 1 run"
1786206443928,2.5,1,BRAZIL,Luiz Morais,Mohit Sharma,"Mohit Sharma to Luiz Morais, 1 run"
1786206445505,2.6,1,BRAZIL,Chrystian Machado,Mohit Sharma,"Mohit Sharma to Chrystian Machado, no run"
