Ball ID,Over/Ball,Innings,Team,Batsman,Bowler,Commentary
1784484831639,48.3,2,IND,Gurnoor Brar,Jofra Archer,"Jofra Archer to Gurnoor Brar, 1 run, follows a backing away Brar and the flick is toe-ended to fine leg"
1784484859094,48.4,2,IND,Arshdeep Singh,Jofra Archer,"Jofra Archer to Arshdeep Singh, <b>FOUR</b>, Arshdeep is dealing in fours. Third one for him. This is a full toss around off, he backs away and does not try to overhit, opens the bat face and guides it to third man"
1784484898613,48.5,2,IND,Arshdeep Singh,Jofra Archer,"Jofra Archer to Arshdeep Singh, 1 run, <b>dropped!</b> Buttler was not expecting that. Arshdeep moves away and has to reach for the full delivery, opens the bat face and gets a thick outside-edge. Buttler was moving to his left but sticks his right hand out, parries it to third man"
1784484929959,48.6,2,IND,Gurnoor Brar,Jofra Archer,"Jofra Archer to Gurnoor Brar, 1 run, full and angled in, Brar drills it down to long-on and retains strike"
1784484965424,$undefined,2,IND,Gurnoor Brar,Adil Rashid,<b>Adil Rashid [7.0-0-52-1] is back into the attack</b>
1784484986155,49.1,2,IND,Gurnoor Brar,Adil Rashid,"Adil Rashid to Gurnoor Brar, no run, googly outside off, Brar does not pick it and slogs across the line, the ball spins past the outside-edge"
1784485012593,49.2,2,IND,Gurnoor Brar,Adil Rashid,"Adil Rashid to Gurnoor Brar, <b>SIX</b>, this time he connects and clears deep mid-wicket. Flighted delivery, around leg and Brar crouches low, slog sweeps it across the line and evades a leaping Duckett on the rope"
1784485036121,49.3,2,IND,Gurnoor Brar,Adil Rashid,"Adil Rashid to Gurnoor Brar, no run, wrong 'un outside off, Brar slogs and misses. Once again did not pick that.."
1784485056364,49.4,2,IND,Gurnoor Brar,Adil Rashid,"Adil Rashid to Gurnoor Brar, 1 run, comes down the track and does not get to the pitch, drives it down to long-on"
1784485079986,49.5,2,IND,Arshdeep Singh,Adil Rashid,"Adil Rashid to Arshdeep Singh, 1 run, now Arshdeep shimmies out and is met by a shortened length, chips it towards deep mid-wicket and settles with a single"
1784485103326,49.6,2,IND,Gurnoor Brar,Adil Rashid,"Adil Rashid to Gurnoor Brar, <b>FOUR</b>, <b>England take the series 2-1.</b> They win by 27 runs. It was a close game but it was England who had the upper hand for most parts. Handshakes between the players. This is sprayed down leg, Brar moves inside the line and sweeps it over backward square leg"
1784485184723,$undefined,2,IND,,,"<b>19:19 Local Time, 18:19 GMT, 23:49 IST:</b> India fought hard but fell 27 runs short as England sealed the series with a well-earned victory. Two phases proved decisive in the contest: England's explosive finish with the bat, plundering 82 runs from the final 5 overs, and Jacob Bethell's outstanding spell after the 30th over, where he conceded just 49 runs in seven overs while claiming the crucial wicket of Rohit Sharma. India's chase began on a solid note, with Rohit and Gill matching England's opening stand by laying the foundation. The pair added 147 for the first wicket, with Gill making a fluent 77 before departing. Rohit, meanwhile, answered his critics in emphatic fashion, bringing up a magnificent century and forging another 100+ stand with Kohli to keep India firmly in the hunt as they matched the required rate for much of the chase."
1784485360580,$undefined,2,IND,,,"The turning point came when Bethell dismissed Rohit for a superb 138, breaking a partnership that had threatened to take the game away from England. From there, Bethell and Curran applied the brakes brilliantly, varying their pace and bowling with impressive discipline to choke India's scoring. Kohli remained India's last realistic hope, but Curran eventually got the prized wicket, effectively ending the contest and sealing the series for England. Presentations coming up.."
1784485360590,$undefined,2,IND,,,"<i>Stats by Deepu Narayanan</i><br><br><b>Highest match aggregate at Lord’s </b><br>747 Eng vs Ind 2026 <br>655 Eng vs SA 2025 <br>651 Eng vs Ind 2002<br><br>- <b>360/7</b> is India’s second highest total in ODIs in England, only behind 373/6 against Sri Lanka in Taunton in 1999.<br><br>- <b>747</b> runs is the second highest aggregate in an ODI in England, only behind763 runs bw New Zealand (398/5) & England (365/9) at the Oval in 2015.<br><br>- This is England’s first bilateral ODI series win against India or Australia since 2019 across seven series.<br><br><b>India in ODIs in SENA in 2020s </b><br>24 mat <br>7 wins <br>15 defeats <br>2 no result <br>They have lost six of the eight series in these shores this period.<br><br><b>Sam Curran speeds today </b><br>< 100 kph: 2/21 off 18 (ER 7.00)<br>100-130 kph: 2/28 off 25 (ER 6.72)<br>130+ kph: 0/24 off 17 (ER 8.47)<br><br><b>Balls from seamers under 128kph/ 80mph </b><br>Rohit: 0/34 off 16 balls <br>Other Indian batters: 3/30 off 28 balls"
1784485867757,$undefined,2,IND,,,$2b
1784486024711,$undefined,2,IND,,,$2a
1784486141130,$undefined,2,IND,,,$29
1784486265132,$undefined,2,IND,,,$28
1784486744840,$undefined,2,IND,,,Harry Brook collects the trophy and walks over to his team mates who are waiting for him behind the WINNERS board. No big celebrations from the players.
1784486811092,$undefined,2,IND,,,"This is a significant series win for England. Their ODI side has endured a difficult few years, but this triumph feels like a step in the right direction. There's a talented core beginning to take shape, and they'll now look to build on this momentum with the 2027 World Cup firmly in their sights. For India, this series was an opportunity to respond after the 4-0 T20I whitewash. They made the perfect start with a convincing win in the opening ODI but couldn't sustain that level over the next two games. Given the experience and quality in this squad, losing the series after leading 1-0 will be a disappointment. That's a wrap from India's tour of Ireland and England. We hope you've enjoyed our coverage. Until next time, goodbye and stay safe.."
