Ball ID,Over/Ball,Innings,Team,Batsman,Bowler,Commentary
1787739002434,$undefined,$undefined,,,,"<b>Pakistan</b> Squad: Abdullah Shafique, Imam-ul-Haq, Shan Masood, Babar Azam(c), Saud Shakeel, Mohammad Rizwan(w), Salman Agha, Ali Usman, Khurram Shahzad, Mohammad Ali, Mohammad Abbas, Sajid Khan, Ghazi Ghori, Aamer Jamal, Azan Awais, Ubaid Shah, Abdullah Fazal, Awais Zafar"
1787739193496,$undefined,$undefined,,,,"<b>England</b> Squad: Ben Duckett, Emilio Gay, Jordan Cox, Joe Root(c), Harry Brook, Dan Lawrence, Jamie Smith(w), Ollie Robinson, Gus Atkinson, Jofra Archer, Josh Tongue, Matthew Fisher, Ollie Pope, Sam Cook, Sonny Baker, Shoaib Bashir"
1787739196089,$undefined,$undefined,,,,<b>Squads:</b>
1787739196099,$undefined,$undefined,,,,$28
1787847648020,$undefined,1,ENG,Jordan Cox,Khurram Shahzad,"Khurram Shahzad to Jordan Cox, <b>THATS OUT!!</b> Caught!!"
1787847650045,47.1,1,ENG,Jordan Cox,Khurram Shahzad,"Khurram Shahzad to Jordan Cox, <b>out</b> Caught by (sub)Salman Agha!! Wow! Straight into the flying Salman's right hand. <i>This is a superb catch from a super sub</i>! He flew to his right, plucked it out of thin air and then sat down and just sported a smile till he was mobbed by his mates. Babar near him couldn't believe it either. That was a fuller length delivery, drew the batter into a drive and the edge came. That was a seam up delivery, landed on the seam and nipped enough to take the edge. The ball I guess had gone beyond him but he snatched it out of thin air. <b>Jordan Cox c (sub)Salman Agha b Khurram Shahzad 55(105) [4s-7]</b>"
1787847731356,$undefined,1,ENG,Gus Atkinson,Khurram Shahzad,"<b>Gus Atkinson, right handed bat, comes to the crease</b>"
1787847743017,47.2,1,ENG,Gus Atkinson,Khurram Shahzad,"Khurram Shahzad to Gus Atkinson, no run, fuller length delivery, patted down to mid-off"
1787847773806,47.3,1,ENG,Gus Atkinson,Khurram Shahzad,"Khurram Shahzad to Gus Atkinson, no run, nips away, on a length, well outside off and left alone"
1787847824694,47.4,1,ENG,Gus Atkinson,Khurram Shahzad,"Khurram Shahzad to Gus Atkinson, <b>FOUR</b>, he can play! Looks to attack the sticks, angled in, Gus Atkinson got the bat down and whipped it behind square for a four. Gus Atkinson is off the mark"
1787847880116,47.5,1,ENG,Gus Atkinson,Khurram Shahzad,"Khurram Shahzad to Gus Atkinson, 3 runs, short of length delivery, outside off, Gus Atkinson short arm jabs the ball wide of the bowler and mid-on for a triple. That was stabbed down and the man at mid-on mopped it up"
1787847930150,47.6,1,ENG,Jamie Smith,Khurram Shahzad,"Khurram Shahzad to Jamie Smith, <b>FOUR</b>, a wicket and 11 runs off the over. Poor delivery on the pads, Jamie Smith is <i>happy as a clam</i> to accept it. Whips the ball away uppishly and wide of mid-wicket for a four. Smith will continue batting like this. That was a buffet ball"
1787847930160,$undefined,1,ENG,,,Only the second fifty by Jamie Smith in his last 10 Test innings.
1787847996618,48.1,1,ENG,Gus Atkinson,Mohammad Ali,"Mohammad Ali to Gus Atkinson, no run, angled in, on a length, nudged down to mid-wicket"
1787848039228,48.2,1,ENG,Gus Atkinson,Mohammad Ali,"Mohammad Ali to Gus Atkinson, no run, <b>Gus Atkinson has a Test ton at this venue!</b> So, Pakistan can't afford to relax. That was a length delivery, outside off, stabbed down to cover"
1787848083399,48.3,1,ENG,Gus Atkinson,Mohammad Ali,"Mohammad Ali to Gus Atkinson, no run, kisses the deck(more of a peck I suppose), nips away and bounces sharply as well. Gus Atkinson looks to jab at it and gets beaten. The bounce was the noticeable factor. Gus Atkinson looked ungainly"
1787848137559,48.4,1,ENG,Gus Atkinson,Mohammad Ali,"Mohammad Ali to Gus Atkinson, no run, goes wide of the crease, angles it in, at the sticks, Gus Atkinson was a little side on to that delivery but fends it down into the off-side with an angled bat pointing to cover"
1787848167461,48.5,1,ENG,Gus Atkinson,Mohammad Ali,"Mohammad Ali to Gus Atkinson, <b>FOUR</b>, edgy! But Gus Atkinson will take it and so will England as the 200 is up. Length delivery, outside off, Gus Atkinson stabs at it and gets it off the edge. The ball goes to ground and past the cordon for a four"
1787848229163,48.6,1,ENG,Gus Atkinson,Mohammad Ali,"Mohammad Ali to Gus Atkinson, no run, angled in, on a length, tucked down to mid-on"
1787848229173,$undefined,1,ENG,,,<b>Jordan Cox</b> is the first England No. 3 since Ollie Pope vs WI in 2024 to score consecutive 50-plus scores.
1787848294593,49.1,1,ENG,Jamie Smith,Khurram Shahzad,"Khurram Shahzad to Jamie Smith, 2 runs, length delivery, not too full but driven on the up and wide of the man at cover. They get a brace as the fielder at cover ran up the slope to mop it up"
1787848325972,49.2,1,ENG,Jamie Smith,Khurram Shahzad,"Khurram Shahzad to Jamie Smith, 1 run, on a length, angled in, tucked wide of mid-on for a single"
1787848365134,49.3,1,ENG,Gus Atkinson,Khurram Shahzad,"Khurram Shahzad to Gus Atkinson, 2 runs, angled in, on a length, Gus Atkinson hangs back and nudges it wide of long leg for a couple of runs. That was played behind square by Gus Atkinson"
1787848414295,49.4,1,ENG,Gus Atkinson,Khurram Shahzad,"Khurram Shahzad to Gus Atkinson, <b>no ball</b>"
1787848450543,49.4,1,ENG,Gus Atkinson,Khurram Shahzad,"Khurram Shahzad to Gus Atkinson, 2 runs, leading edge and wide of cover. Was a length delivery, angled in, Gus Atkinson wanted to whip it away"
1787848499913,49.5,1,ENG,Gus Atkinson,Khurram Shahzad,"Khurram Shahzad to Gus Atkinson, no run"
1787848540884,49.6,1,ENG,Gus Atkinson,Khurram Shahzad,"Khurram Shahzad to Gus Atkinson, <b>FOUR</b>, to third man"
1787848614862,50.1,1,ENG,Jamie Smith,Mohammad Ali,"Mohammad Ali to Jamie Smith, no run"
1787848653550,50.2,1,ENG,Jamie Smith,Mohammad Ali,"Mohammad Ali to Jamie Smith, <b>FOUR</b>"
1787848697739,50.3,1,ENG,Jamie Smith,Mohammad Ali,"Mohammad Ali to Jamie Smith, no run"
1787848741526,50.4,1,ENG,Jamie Smith,Mohammad Ali,"Mohammad Ali to Jamie Smith, no run, short of length delivery, angled in, Jamie Smith gets squared up and defends it back to the bowler"
1787848778425,50.5,1,ENG,Jamie Smith,Mohammad Ali,"Mohammad Ali to Jamie Smith, no run"
1787848819713,50.6,1,ENG,Jamie Smith,Mohammad Ali,"Mohammad Ali to Jamie Smith, no run"
1787848822864,$undefined,1,ENG,,,The lights are on. Looks a little dark.
1787848905919,$undefined,1,ENG,Gus Atkinson,Ali Usman,<b>Ali Usman [8.0-1-31-0] is back into the attack</b>
