Ball ID,Over/Ball,Innings,Team,Batsman,Bowler,Commentary
1790102523445,$undefined,2,SL,Asitha Fernando,Will Jacks,"<b>Asitha Fernando, right handed bat, comes to the crease</b>"
1790102541167,36.4,2,SL,Asitha Fernando,Will Jacks,"Will Jacks to Asitha Fernando, no run, big spin and bounce. The off-break and it turns in to beat the inside-edge of Asitha Fernando as he goes on the back foot. Too high for LBW"
1790102588507,$undefined,2,SL,Asitha Fernando,Will Jacks,"Will Jacks to Asitha Fernando, <b>THATS OUT!!</b> Caught!!"
1790102589681,36.5,2,SL,Asitha Fernando,Will Jacks,"Will Jacks to Asitha Fernando, <b>out</b> Caught by Tom Banton!! Asitha Fernando picks out long-on. Again the tossed up delivery outside off, wants Fernando to have a go, he doesn't time the loft, Banton jogs back at long-on and takes a simple catch. Will Jacks has his fourth. <b>Asitha Fernando c Tom Banton b Will Jacks 0(2)</b>"
1790102698362,$undefined,2,SL,Dilshan Madushanka,Will Jacks,"<b>Dilshan Madushanka, right handed bat, comes to the crease</b>"
1790102700508,$undefined,2,SL,Dushmantha Chameera,Gus Atkinson,"Will Jacks to Dilshan Madushanka, <b>THATS OUT!!</b> Bowled!!"
1790102701828,36.6,2,SL,Dilshan Madushanka,Will Jacks,"Will Jacks to Dilshan Madushanka, <b>out</b> Bowled!! <b>Maiden fifer for Will Jacks.</b> He is all smiles. A ripper to end the game. Tossed up well outside off, miles the gap between bat and pad as Dilshan Madushanka pushes at it, rips past the inside-edge and hits the outside of off-stump. A special delivery to end the game. Three wickets in the over as well. A slip and a legslip were added and England took their time to bowl that ball. It has worked out perfectly. <b>Dilshan Madushanka b Will Jacks 0(1)</b>"
1790102805045,$undefined,2,SL,,,"<b>19:46 Local Time, 18:46 GMT, 00:16 IST:</b> England go 1-0 up. Not an easy pitch and surprisingly this one aided spin when that is not the norm here. Will Jacks with superb control of line and length finishes with his maiden fifer. Kumar Sangakkara on air called Sri Lanka's batting ""Timid"" while Mark Butcher reckoned it was ""Meek"". The openers started off decently but once Kamindu went, the innings got stuck. The middle-overs, England were allowed to bowl dot after dot and as a result the pressure shot up. Wickets came due to that and some poor shot selection too cost Sri Lanka - both Asalanka and Kusal Mendis falling to sweeps to Jacks. Wellalage at the end when the game was almost done, played some beautiful shots to delay the inevitable. England used the pitch by bowling a hard length and then Jacks was outstanding. Stay tuned for the post-match stuff..."
1790102805055,$undefined,2,SL,,,"<b>5-fers for ENG vs SL in ODIs</b><br>6/47 - Chris Woakes, Pallekele, 2014<br>5/22 - Will Jacks, Chester-le-Street, 2026<br>5/29 - Chris Jordan, Old Trafford, 2014<br>5/32 - Mark Ealham, Perth WACA, 1999<br>5/39 - Vic Marks, Taunton, 1983 WC<br>5/48 - Sam Curran, The Oval, 2021"
1790102805065,$undefined,2,SL,,,"<b>5-fer and 40-plus score in an ODI for England</b><br>5/33 & 80 - Graeme Hick vs ZIM, Harare, 2000<br>5/26 & 53 - Ronnie Irani vs IND, The Oval, 2002<br>6/31 & 112* - Paul Collingwood vs BAN, Trent Bridge, 2005<br>5/22 & 46* - Will Jacks vs SL, Chester-le-Street, 2026"
