Ball ID,Over/Ball,Innings,Team,Batsman,Bowler,Commentary
1786369377052,$undefined,$undefined,,,,"<b>Germany</b> Squad: Musaddiq Ahmed(c), Sachin Mandy Gangareddy(w), Shahid Afridi, Jeevan Bhatt, Joshua Stephan, Nooruddin Mujadady, Fayaz Khan Nasseri, Ghulam Rasul Ahmadi, Joshua van Heerden, Kyle Klesse, Muslim Yar Ashraf, Harmanjot Singh, Sajid Liaqat, Jatinder Kumar"
1786369402976,$undefined,$undefined,,,,"<b>Finland</b> Squad: Amjad Sher(c), Aravind Mohan(w), Vanraaj Padhaal, Aniketh Pusthay, Mahesh Tambe, Faheem Nellancheri, Akhil Arjunan, Nicholas Salonen, Faraaz Mehti Abbas, Madhawa Basnayaka, Junaid Khan, Kaif Jamadar, Zahidullah Kamal, Hammadullah Shinwari, Piumal Karunarathna"
1786369408013,$undefined,$undefined,,,,<b>Squads:</b>
1786465531331,$undefined,$undefined,,,,<b>Germany have won the toss and have opted to bat</b>
1786465642594,$undefined,$undefined,,,,"<b>Finland</b> (Playing XI): Amjad Sher(c), Aniketh Pusthay, Aravind Mohan(w), Faheem Nellancheri, Hammadullah Shinwari, Junaid Khan, Mahesh Tambe, Faraaz Mehti Abbas, Nicholas Salonen, Piumal Karunarathna, Zahidullah Kamal"
1786466271512,$undefined,$undefined,,,,"<b>Germany</b> (Playing XI): Ben Kohler-Cadmore, Musaddiq Ahmed(c), Harmanjot Singh, Shahid Afridi, Hamid Wardak, Fayaz Khan Nasseri, Sachin Mandy Gangareddy(w), Muslim Yar Ashraf, Sajid Liaqat, Jatinder Kumar, Prateek Dabholkar"
1786466272611,$undefined,$undefined,,,,<b>Teams:</b>
1786466453858,$undefined,1,GER,,,<b>Ben Kohler-Cadmore and Musaddiq Ahmed are at the crease. Ben Kohler-Cadmore is on strike. Amjad Sher will open the attack</b>
1786466458044,0.1,1,GER,Ben Kohler-Cadmore,Amjad Sher,"Amjad Sher to Ben Kohler-Cadmore, 2 runs"
1786466459162,0.2,1,GER,Ben Kohler-Cadmore,Amjad Sher,"Amjad Sher to Ben Kohler-Cadmore, 1 run"
1786466462613,0.3,1,GER,Musaddiq Ahmed,Amjad Sher,"Amjad Sher to Musaddiq Ahmed, no run"
1786466465835,0.4,1,GER,Musaddiq Ahmed,Amjad Sher,"Amjad Sher to Musaddiq Ahmed, <b>SIX</b>"
1786466467200,0.5,1,GER,Musaddiq Ahmed,Amjad Sher,"Amjad Sher to Musaddiq Ahmed, no run"
1786466467452,0.6,1,GER,Musaddiq Ahmed,Amjad Sher,"Amjad Sher to Musaddiq Ahmed, no run"
1786466476030,$undefined,1,GER,Ben Kohler-Cadmore,Hammadullah Shinwari,"<b>Hammadullah Shinwari, comes into the attack</b>"
1786466523894,$undefined,1,GER,Ben Kohler-Cadmore,Hammadullah Shinwari,"Hammadullah Shinwari to Ben Kohler-Cadmore, <b>THATS OUT!!</b> Lbw!!"
1786466524637,1.1,1,GER,Ben Kohler-Cadmore,Hammadullah Shinwari,"Hammadullah Shinwari to Ben Kohler-Cadmore, <b>out</b> Lbw!! <b>Ben Kohler-Cadmore lbw b Hammadullah Shinwari 3(3)</b>"
1786466527144,$undefined,1,GER,Harmanjot,Hammadullah Shinwari,"<b>Harmanjot Singh, right handed bat, comes to the crease</b>"
1786466530557,1.2,1,GER,Harmanjot Singh,Hammadullah Shinwari,"Hammadullah Shinwari to Harmanjot, no run"
1786466530874,1.3,1,GER,Harmanjot Singh,Hammadullah Shinwari,"Hammadullah Shinwari to Harmanjot, no run"
1786466531197,1.4,1,GER,Harmanjot Singh,Hammadullah Shinwari,"Hammadullah Shinwari to Harmanjot, no run"
1786466533508,1.5,1,GER,Harmanjot Singh,Hammadullah Shinwari,"Hammadullah Shinwari to Harmanjot, no run"
1786466533837,1.6,1,GER,Harmanjot Singh,Hammadullah Shinwari,"Hammadullah Shinwari to Harmanjot, no run"
1786466676900,2.1,1,GER,Musaddiq Ahmed,Amjad Sher,"Amjad Sher to Musaddiq Ahmed, no run"
1786466678028,2.2,1,GER,Musaddiq Ahmed,Amjad Sher,"Amjad Sher to Musaddiq Ahmed, no run"
1786466681933,2.3,1,GER,Musaddiq Ahmed,Amjad Sher,"Amjad Sher to Musaddiq Ahmed, <b>SIX</b>"
1786466684784,2.4,1,GER,Musaddiq Ahmed,Amjad Sher,"Amjad Sher to Musaddiq Ahmed, no run"
1786466687192,2.5,1,GER,Musaddiq Ahmed,Amjad Sher,"Amjad Sher to Musaddiq Ahmed, <b>FOUR</b>"
1786466691062,2.6,1,GER,Musaddiq Ahmed,Amjad Sher,"Amjad Sher to Musaddiq Ahmed, 2 runs"
1786466699982,3.1,1,GER,Harmanjot Singh,Hammadullah Shinwari,"Hammadullah Shinwari to Harmanjot, no run"
1786466700569,3.2,1,GER,Harmanjot Singh,Hammadullah Shinwari,"Hammadullah Shinwari to Harmanjot, no run"
