Ball ID,Over/Ball,Innings,Team,Batsman,Bowler,Commentary
1790090429998,15.6,2,SLE,Eric Turay,Philip Yevugah,"Philip Yevugah to Eric Turay, no run"
1790090436630,$undefined,2,SLE,Yegbeh Jalloh,Richmond Baaleri,"<b>Richmond Baaleri, right-arm off break, comes into the attack</b>"
1790090451979,16.1,2,SLE,Yegbeh Jalloh,Richmond Baaleri,"Richmond Baaleri to Yegbeh Jalloh, <b>wide</b>"
1790090452547,16.1,2,SLE,Yegbeh Jalloh,Richmond Baaleri,"Richmond Baaleri to Yegbeh Jalloh, no run"
1790090454591,16.2,2,SLE,Yegbeh Jalloh,Richmond Baaleri,"Richmond Baaleri to Yegbeh Jalloh, 3 runs"
1790090456515,16.3,2,SLE,Eric Turay,Richmond Baaleri,"Richmond Baaleri to Eric Turay, 1 run"
1790090458822,16.4,2,SLE,Yegbeh Jalloh,Richmond Baaleri,"Richmond Baaleri to Yegbeh Jalloh, 2 runs"
1790090461049,16.5,2,SLE,Yegbeh Jalloh,Richmond Baaleri,"Richmond Baaleri to Yegbeh Jalloh, 2 runs"
1790090469908,$undefined,2,SLE,Yegbeh Jalloh,Richmond Baaleri,"Richmond Baaleri to Yegbeh Jalloh, <b>THATS OUT!!</b> Caught!!"
1790090470899,16.6,2,SLE,Yegbeh Jalloh,Richmond Baaleri,"Richmond Baaleri to Yegbeh Jalloh, <b>out</b> Caught by Vincent Ateak!! <b>Yegbeh Jalloh c Vincent Ateak b Richmond Baaleri 19(37)</b>"
1790090476007,$undefined,2,SLE,Eric Turay,Philip Yevugah,"<b>Lansana Lamin, right handed bat, comes to the crease</b>"
1790090481941,$undefined,2,SLE,Eric Turay,Judah Solomon,<b>Judah Solomon [3.0-0-12-0] is back into the attack</b>
1790090517696,17.1,2,SLE,Eric Turay,Judah Solomon,"Judah Solomon to Eric Turay, 1 run"
1790090519307,17.2,2,SLE,Lansana Lamin,Judah Solomon,"Judah Solomon to Lansana Lamin, <b>FOUR</b>"
1790090521128,17.3,2,SLE,Lansana Lamin,Judah Solomon,"Judah Solomon to Lansana Lamin, 2 runs"
1790090525993,17.4,2,SLE,Lansana Lamin,Judah Solomon,"Judah Solomon to Lansana Lamin, 2 runs"
1790090527369,17.5,2,SLE,Lansana Lamin,Judah Solomon,"Judah Solomon to Lansana Lamin, <b>SIX</b>"
1790090529687,17.6,2,SLE,Lansana Lamin,Judah Solomon,"Judah Solomon to Lansana Lamin, no run"
1790090555454,18.1,2,SLE,Eric Turay,Richmond Baaleri,"Richmond Baaleri to Eric Turay, 2 runs"
1790090560163,$undefined,2,SLE,,,<b>Result:</b> Sierra Leone won by 6 wkts
