Ball ID,Over/Ball,Innings,Team,Batsman,Bowler,Commentary
1790064178130,$undefined,2,JPN,Benjamin Ito-Davis,Axar Patel,<b>Axar Patel [1.0-0-2-0] is back into the attack</b>
1790064221012,$undefined,2,JPN,Benjamin Ito-Davis,Axar Patel,"<b>Alexander Shirai-Patmore, left handed bat, comes to the crease</b>"
1790064253404,$undefined,2,JPN,,,<b>Equation: 8 runs needed in 6 balls.</b> Axar Patel will bowl the final over
1790064260450,4.1,2,JPN,Benjamin Ito-Davis,Axar Patel,"Axar Patel to Benjamin Ito-Davis, no run, lovely delivery around off, spinning away from the batsman, Benjamin Ito-Davis swings and misses"
1790064292534,4.2,2,JPN,Benjamin Ito-Davis,Axar Patel,"Axar Patel to Benjamin Ito-Davis, 1 run, tad short around off, Benjamin Ito-Davis swings hard, but loses his shape while playing this shot. Miscues it towards deep mid-off for a single. The fielder is quick to move in and get rid of the ball"
1790064460756,4.3,2,JPN,Alexander Shirai-Patmore,Axar Patel,"Axar Patel to Alexander Shirai-Patmore, <b>wide</b>, that's a wide ball down the leg-side, Alexander Shirai-Patmore was going for the reverse sweep, but Axar Patel with an extra"
1790064461722,4.3,2,JPN,Alexander Shirai-Patmore,Axar Patel,"Axar Patel to Alexander Shirai-Patmore, no run, similar to the previous delivery, yet another wide ball down the leg-side. Alexander Shirai-Patmore was going for the reverse sweep again. Samson and Axar are not happy with that decision. Shreyas Iyer is having a chat with the square leg umpire - Chris Brown. Now, both the umpires get into a discussion, but the on-field call stays. Hang on! <b>The decision has been reversed</b>. This is a big call. Axar was not happy, he voiced his displeasure to umpire Chris Thurgate. Then, Iyer walked up to umpire Brown and asked him to intervene. There was a chat between the two umpires and the decision was overturned"
1790064464670,4.4,2,JPN,Alexander Shirai-Patmore,Axar Patel,"Axar Patel to Alexander Shirai-Patmore, 1 run, slogged through mid-wicket for a single"
1790064478337,4.5,2,JPN,Benjamin Ito-Davis,Axar Patel,"Axar Patel to Benjamin Ito-Davis, 1 run, tad short outside off, Benjamin Ito-Davis slaps it down the ground to long-off for a single"
1790064513166,$undefined,2,JPN,,,<b>4 runs needed in 1 ball</b>
1790064543389,4.6,2,JPN,Benjamin Ito-Davis,Washington Sundar,"Axar Patel to Alexander Shirai-Patmore, 1 run, <b>India keep their composure under pressure and clinch a thrilling two-run victory.</b> This was a lot slower through the air on leg, Alexander Shirai-Patmore looks to drag it away, doesn't middle it though. Just a single to end the match and India win the one-off T20I in Japan. That went right down to the wire and would have sent a few Indian hearts racing"
1790064667887,$undefined,2,JPN,,,$2d
1790064667897,$undefined,2,JPN,,,"<i>Stats by Deepu Narayanan</i><br><br><b>Shreyas Iyer as T20 captain in 2026</b> <br><b>First 7 matches:</b> W.W.NR.W.W.W<br><b>Next 7 matches:</b> L.L.L.L.L.L.W<br><b>Next 7 matches: </b>L.L.NR.L.L.L.L<br><b>Last 7 matches</b>: W.W.W.W.W.W.W<br><br><b>India become the first team to register 200 wins in T20 Internationals (including Super Over wins).</b><br>1st win: vs SA, Joburg, 2006 (6 wkts)  <br>50th win: vs SL, Colombo RPS, 2017 (7 wkts) <br>100th win: vs WI, Kolkata, 2022 (8 runs) <br>150th win: vs Aus, Gros Islet, 2024 (24 runs)  <br>200th win: vs Japan, Sano, 2026 (2 runs)<br><br>Wins 1-50: 83 matches <br>Wins 51-100: 72 matches <br>Wins 101-150: 70 matches <br><i>Wins 151-200: 66 matches</i><br><br><b>Fewest winning margin for India (by runs) </b><br>1 vs SA Colombo RPS 2012 <br>1 vs Ban Bengaluru 2016 <br>2 vs SL Wankhede 2023 <br><i>2 vs Japan Sano 2026 *</i><br>3 vs Zim Harare 2016 <br>4 vs Ire Malahide 2022"
1790066856943,$undefined,2,JPN,,,<b>Shreyas Iyer is the Player of the Match..</b>
1790066870367,$undefined,2,JPN,,,$2c
1790067101342,$undefined,2,JPN,,,$2b
1790067375495,$undefined,2,JPN,,,$2a
1790067721592,$undefined,2,JPN,,,$29
1790067731494,$undefined,2,JPN,,,$28
1790067894616,$undefined,2,JPN,,,"That brings our coverage of this one-off T20I in Kanto to an end. Japan put up a spirited fight and can take plenty of positives from the contest. With the Asian Games now drawing closer, India will be keen to raise their performance levels over the next couple of weeks. The pitches at the Asian Games are expected to provide better batting and playing conditions than the surface we saw today. Japan will begin their campaign against Afghanistan and it will be intriguing to see if they can make it through to the quarter-finals. India’s tour of Japan is also a significant milestone in the growth and development of cricket in the country, and hopefully many more such memorable moments lie ahead. For now, this is <b>Nikhil</b> signing off, on behalf of <b>Akshay</b> and <b>Siva.</b>"
