Ball ID,Over/Ball,Innings,Team,Batsman,Bowler,Commentary
1787056183886,31.6,4,SL,Sonal Dinusha,Prasidh Krishna,"Prasidh Krishna to Sonal Dinusha, no run, tad fuller and around the off-stump channel, defended back at the bowler"
1787056214693,$undefined,4,SL,,,"The 4th umpire runs out with the lightmeter and hands it out to Ahsan Raza. It must be good enough because the umpire doesn't take a reading, just keeps it in his pocket"
1787056245499,32.1,4,SL,Dhananjaya de Silva,Kuldeep Yadav,"Kuldeep Yadav to Dhananjaya, no run, tossed up and sliding down leg, DDS was looking to flick and missed"
1787056268230,32.2,4,SL,Dhananjaya de Silva,Kuldeep Yadav,"Kuldeep Yadav to Dhananjaya, no run, flighted just outside off - a big stride forward as DDS defended"
1787056299866,32.3,4,SL,Dhananjaya de Silva,Kuldeep Yadav,"Kuldeep Yadav to Dhananjaya, 1 run, tossed up on the leg-stump line, defended behind square on the on-side for a single"
1787056346554,32.4,4,SL,Sonal Dinusha,Kuldeep Yadav,"Kuldeep Yadav to Sonal Dinusha, 1 run, fraction short and wide of off, chopped behind square on the off-side for a single"
1787056373111,32.5,4,SL,Dhananjaya de Silva,Kuldeep Yadav,"Kuldeep Yadav to Dhananjaya, no run, tossed up on middle, DDS gets well forward as he defended"
1787056397597,32.6,4,SL,Dhananjaya de Silva,Kuldeep Yadav,"Kuldeep Yadav to Dhananjaya, no run, tossed up and spinning back into the right-hander, blocked back at the bowler"
1787056449841,$undefined,4,SL,Sonal Dinusha,Devdutt Padikkal,"<b>Devdutt Padikkal, right-arm off break, comes into the attack</b>"
1787056452889,$undefined,4,SL,,,The two umpires converge and have a chat. Ahsan Raza is now taking a reading even as <b>Devdutt Padikkal marks his run-up to bowl some off-breaks</b>
1787056473697,33.1,4,SL,Sonal Dinusha,Devdutt Padikkal,"Devdutt Padikkal to Sonal Dinusha, <b>FOUR</b>, <b>clubbed</b>, a rank long hop from Padikkal - short and at the stumps, Dinusha picks the length early, swivels across and hammers the pull through mid-wicket"
1787056519771,33.2,4,SL,Sonal Dinusha,Devdutt Padikkal,"Devdutt Padikkal to Sonal Dinusha, 1 run, tossed up just outside off, driven in front of square on the off-side for a single"
1787056552729,33.3,4,SL,Dhananjaya de Silva,Devdutt Padikkal,"Devdutt Padikkal to Dhananjaya, no run, flighted delivery from round the wicket, driven back at the bowler"
1787056570350,33.4,4,SL,Dhananjaya de Silva,Devdutt Padikkal,"Devdutt Padikkal to Dhananjaya, no run, tossed up on the leg-stump line, nudged behind square on the on-side"
1787056594380,33.5,4,SL,Dhananjaya de Silva,Devdutt Padikkal,"Devdutt Padikkal to Dhananjaya, no run, flighted delivery outside off, driven straight to the fielder at mid-off"
1787056613803,33.6,4,SL,Dhananjaya de Silva,Devdutt Padikkal,"Devdutt Padikkal to Dhananjaya, no run, nearly a catch to slip, tossed up from over the wicket - DDS was leaning forward on the drive, came off the toe-end and bounced well in front of KL"
1787056700830,$undefined,4,SL,,,$29
1787057078065,$undefined,4,SL,,,<b>This was the seventh instance of Devdutt Padikkal </b>bowling in first-class cricket. He bowled nine overs (0/34) across his six previous outings with the ball.
1787057092953,$undefined,4,SL,,,<b>Prasidh pitched 68.75% of his deliveries (33) in the short length zone </b>- hard length (8-10m) or bouncer (10m). He returned 1/8 with those at an ER of 1.45.
1787057620047,$undefined,4,SL,,,$28
1787110211310,$undefined,4,SL,,,"<b>09:00 Local Time, 03:30 GMT:</b> After winning a crucial toss, India have been in a dominant position throughout the game. Rain has made an appearance every single day. And this is the current equation - India need 6 wickets | Sri Lanka need 288 runs. Indians coming out on top is the most likely result. The Islanders need something special even to salvage a draw. Hello everyone, and a warm welcome to the final day's play of this Galle Test."
