Ball ID,Over/Ball,Innings,Team,Batsman,Bowler,Commentary
1785837241577,$undefined,$undefined,,,,"<b>Afghanistan</b> Squad: Rahmanullah Gurbaz(w), Sediqullah Atal, Ibrahim Zadran, Rahmat Shah(c), Hashmatullah Shahidi, Darwish Rasooli, Azmatullah Omarzai, Rashid Khan, AM Ghazanfar, Yamin Ahmadzai, Fazalhaq Farooqi, Zia Ur Rahman Sharifi, Mohammad Saleem Safi, Nangeyalia Kharoti, Ikram Alikhil"
1785837359194,$undefined,$undefined,,,,"<b>Ireland</b> Squad: Paul Stirling(c), Andrew Balbirnie, Harry Tector, Lorcan Tucker(w), Benjamin Calitz, Curtis Campher, George Dockrell, Andy McBrine, Mark Adair, Jai Moondra, Gavin Hoey, Cade Carmichael, Liam McCarthy, Byron McDonough"
1785837361587,$undefined,$undefined,,,,<b>Squads:</b>
1785919519062,$undefined,$undefined,,,,"<b>09:45 Local Time, 08:45 GMT, 14:15 IST:</b> Hello and welcome to our live coverage between Afghanistan and Ireland! These two teams have a long history of playing against each other in 50-over cricket. Out of their 32 matches, Afghanistan has won 18 times while Ireland have won 13, so we are in for another close series."
1785919551559,$undefined,$undefined,,,,"Both teams have strong players across all departments. Afghanistan’s big strength is their world class spinners and explosive opening batters. On the other hand, Ireland relies on their experienced batters to score runs and their fast bowlers who know how to bowl in these conditions."
1785919603959,$undefined,$undefined,,,,"Cloudy skies are expected for much of the day and morning rain will likely give fast bowlers extra assistance early on. This series also matters for the 2027 ODI World Cup, as both nations are aiming to build key momentum toward qualification. Stay tuned as we bring you the toss and team updates in a bit!"
1785920119285,$undefined,$undefined,,,,"<b>09:54 Local Time, 08:54 GMT, 14:24 IST:</b> Not great news to start with. It has been raining since morning and the ground is covered, so the toss will be delayed."
1785922415790,$undefined,$undefined,,,,"<b>10:33 Local Time, 09:33 GMT, 15:03 IST:</b> No change in the weather, it’s still raining. Let’s hope it clears up soon so we can see some action!"
1785922967277,$undefined,$undefined,,,,"<b>10:42 Local Time, 09:42 GMT, 15:12 IST:</b> Latest update from Cricket Ireland - The next official inspection is scheduled for 12 PM. Fingers crossed!"
1785925069431,$undefined,$undefined,,,,"While we wait for the weather to improve in Bready, here's something to keep you occupied. Check out Atif Azam's exclusive interview with Afghanistan's newly-appointed Test and ODI captain, Rahmat Shah, as the 33-year-old talks about the 2027 ODI World Cup, consistently crossing the 300-run mark in the 50-over format, and much more."
