Ball ID,Over/Ball,Innings,Team,Batsman,Bowler,Commentary
1784475447314,15.5,2,IND,Shubman Gill,Gus Atkinson,"Atkinson to Shubman Gill, no run, 136kph, fuller than a good length, Gill shuffles across a bit to defensively push it to the left of the bowler"
1784475482966,15.6,2,IND,Shubman Gill,Gus Atkinson,"Atkinson to Shubman Gill, no run, 141kph, Gill is livid with himself as he fails to put this overpitched delivery away. Gets forward to drive hard and miscues it to mid-off"
1784475519057,$undefined,2,IND,,,"<b>Drinks!</b> England were 101/0 after 16 overs, India aren't too far behind at 93/0. England were lot more disciplined with the new ball than India. Rohit and Gill took their time to get in. They were patient against Jofra and Atkinson and then went on the offensive against the other bowlers. Gill is receiving some treatment from the physio and eating a banana. The asking rate is under 9 RPO and with 10 wickets in hand, it's game on."
1784475716185,16.1,2,IND,Rohit Sharma,Adil Rashid,"Adil Rashid to Rohit Sharma, 1 run, flighted delivery outside off, driven along the ground to sweeper cover"
1784475756106,16.2,2,IND,Shubman Gill,Adil Rashid,"Adil Rashid to Shubman Gill, no run, driven straight to cover. Was a full delivery outside off"
1784475815833,16.3,2,IND,Shubman Gill,Adil Rashid,"Adil Rashid to Shubman Gill, leg byes, 1 run, slower through the air at 70ks and drifts and spins away from the right-hander. Shubman Gill plays the sweep and misses. The ball keeps low and spins past the pads. Hawkeye shows the ball was missing the off-stump"
1784475828919,16.4,2,IND,Rohit Sharma,Adil Rashid,"Adil Rashid to Rohit Sharma, no run, pushed to the off-side"
1784475848988,16.5,2,IND,Rohit Sharma,Adil Rashid,"Adil Rashid to Rohit Sharma, 1 run, tossed up delivery outside off, driven down to long-off"
1784475872413,16.6,2,IND,Shubman Gill,Adil Rashid,"Adil Rashid to Shubman Gill, no run, loopy delivery on off, Gill had to wait for the ball and punch it to covers"
1784475918676,17.1,2,IND,Rohit Sharma,Gus Atkinson,"Atkinson to Rohit Sharma, no run, good length delivery on off, defended back to Atkinson"
1784475958120,17.2,2,IND,Rohit Sharma,Gus Atkinson,"Atkinson to Rohit Sharma, 1 run, short delivery outside off, Rohit shuffles across his stumps and pulls it to deep square leg"
1784475990027,17.3,2,IND,Shubman Gill,Gus Atkinson,"Atkinson to Shubman Gill, no run, Shubman Gill charges down the track and looks to smoke it over long-off. Misses by a long way. There was sound as the ball passes the bat, but no one really heard it."
1784476026124,17.4,2,IND,Shubman Gill,Gus Atkinson,"Atkinson to Shubman Gill, no run, good length delivery keeps low outside off, Gill tries to pull and gets beaten as the ball goes under the bat"
1784476061375,17.5,2,IND,Shubman Gill,Gus Atkinson,"Atkinson to Shubman Gill, no run, pushed to cover of the front foot"
1784476110187,$undefined,2,IND,,,Slight delay in play as Gill has a change in bat. He chooses one from four bats.
1784476130590,17.6,2,IND,Shubman Gill,Gus Atkinson,"Atkinson to Shubman Gill, no run, good length delivery outside off, Shubman Gill knocks it to the off-side"
1784476177366,18.1,2,IND,Rohit Sharma,Adil Rashid,"Adil Rashid to Rohit Sharma, 1 run, floated outside off, Rohit drives it through to sweeper cover"
1784476200122,18.2,2,IND,Shubman Gill,Adil Rashid,"Adil Rashid to Shubman Gill, 1 run, wrong 'un on middle, Gill knocks it down to long-on"
1784476227715,18.3,2,IND,Rohit Sharma,Adil Rashid,"Adil Rashid to Rohit Sharma, 1 run, <b>100-run opening stand for India.</b>"
1784476250000,18.4,2,IND,Shubman Gill,Adil Rashid,"Adil Rashid to Shubman Gill, no run"
1784476284427,18.5,2,IND,Shubman Gill,Adil Rashid,"Adil Rashid to Shubman Gill, 3 runs, quicker around off, Gill makes room and chops the cut past backward point. Races away towards the fence"
