Ball ID,Over/Ball,Innings,Team,Batsman,Bowler,Commentary
1789462486306,$undefined,$undefined,,,,"<b>United Arab Emirates</b> Squad: Tanish Suri, Adeeb Usmani, Alishan Sharafu, Harpreet Singh Bhatia(c), Rahul Chopra(w), Khuzaima Tanveer, Sohaib Khan, Muhammad Mohsin, Aayan Afzal Khan, Ibrar Ahmad, Haider Ali, Akshdeep Nath, Muhammad Waseem, Aryansh Sharma, Muhammad Jawadullah, Azri Azhar, Muhammad Shahdad"
1789462562870,$undefined,$undefined,,,,"<b>Malaysia</b> Squad: Muhammad Haziq Aiman(w), Nazmus Sakib, Syed Aziz Mubarak(c), Virandeep Singh, Aqeel Wahid, Sharvin Muniandy, Muhammad Akram, Muhammad Amir Azim, Rizwan Haider, Prashant Madhukar, Vijay Unni, Zubaidi Zulkifle, Pavandeep Singh, Vishvaruben Kumar, Aslam Khan Malik, Muhamad Syahadat, Amir Khan Malik, Arif Ullah, Hamzah Panggi, Adeshlie Alias"
1789462565393,$undefined,$undefined,,,,<b>Squads:</b>
1789534840327,15.2,2,UAE,Adeeb Usmani,Vijay Unni,"Vijay Unni to Adeeb Usmani, no run"
1789534840594,15.3,2,UAE,Adeeb Usmani,Vijay Unni,"Vijay Unni to Adeeb Usmani, no run"
1789534841914,15.4,2,UAE,Adeeb Usmani,Vijay Unni,"Vijay Unni to Adeeb Usmani, 1 run"
1789534842984,15.5,2,UAE,Harpreet Singh Bhatia,Vijay Unni,"Vijay Unni to Harpreet Singh, no run"
1789534846805,15.6,2,UAE,Harpreet Singh Bhatia,Vijay Unni,"Vijay Unni to Harpreet Singh, 1 run"
1789534853221,16.1,2,UAE,Harpreet Singh Bhatia,Virandeep Singh,"Virandeep Singh to Harpreet Singh, 1 run"
1789534854716,16.2,2,UAE,Adeeb Usmani,Virandeep Singh,"Virandeep Singh to Adeeb Usmani, 1 run"
1789534857174,$undefined,2,UAE,Harpreet Singh,Virandeep Singh,"Virandeep Singh to Harpreet Singh, <b>THATS OUT!!</b> Caught&Bowled!!"
1789534857938,16.3,2,UAE,Harpreet Singh Bhatia,Virandeep Singh,"Virandeep Singh to Harpreet Singh, <b>out</b> Caught&Bowled!! <b>Harpreet Singh c and b Virandeep Singh 32(23) [4s-3 6s-1]</b>"
1789534958352,$undefined,2,UAE,Akshdeep Nath,Virandeep Singh,"<b>Akshdeep Nath, right handed bat, comes to the crease</b>"
1789534962567,16.4,2,UAE,Akshdeep Nath,Virandeep Singh,"Virandeep Singh to Akshdeep Nath, 2 runs"
1789534963079,16.5,2,UAE,Akshdeep Nath,Virandeep Singh,"Virandeep Singh to Akshdeep Nath, no run"
1789535074713,16.6,2,UAE,Akshdeep Nath,Virandeep Singh,"Virandeep Singh to Akshdeep Nath, no run"
1789535202330,$undefined,2,UAE,Adeeb Usmani,Muhammad Wafiq,<b>Muhammad Wafiq [3.0-0-14-1] is back into the attack</b>
1789535206466,17.1,2,UAE,Adeeb Usmani,Muhammad Wafiq,"Wafiq to Adeeb Usmani, <b>wide</b>"
1789535210351,17.1,2,UAE,Adeeb Usmani,Muhammad Wafiq,"Wafiq to Adeeb Usmani, <b>FOUR</b>"
1789535212559,17.2,2,UAE,Adeeb Usmani,Muhammad Wafiq,"Wafiq to Adeeb Usmani, <b>FOUR</b>"
1789535215909,17.3,2,UAE,Adeeb Usmani,Muhammad Wafiq,"Wafiq to Adeeb Usmani, 1 run"
1789535253417,17.4,2,UAE,Akshdeep Nath,Muhammad Wafiq,"Wafiq to Akshdeep Nath, 1 run"
1789535387052,$undefined,2,UAE,,,"<b>13:09 Local Time, 05:09 GMT, 10:39 IST:</b> <b>Result  -</b> United Arab Emirates won by 7 wkts"
