Ball ID,Over/Ball,Innings,Team,Batsman,Bowler,Commentary
1788447406510,16.2,2,ZIM,Tadiwanashe Marumani,Jack Brassell,"Jack Brassell to Tadiwanashe Marumani, 1 run, on the shorter side as Tadiwanashe Marumani pulls it towards fine leg"
1788447438963,16.3,2,ZIM,Ryan Burl,Jack Brassell,"Jack Brassell to Ryan Burl, 1 run, on the shorter side down the leg-side, Ryan Burl pulls it on the bounce to fine leg"
1788447473335,16.4,2,ZIM,Tadiwanashe Marumani,Jack Brassell,"Jack Brassell to Tadiwanashe Marumani, <b>wide</b>, <b>appeal for a caught behind, but the umpire signals a wide.</b> Was a short ball down the leg-side, and Tadiwanashe Marumani got beaten as he went for a pull. Good call by the umpire, that was indeed a wide"
1788447509872,16.4,2,ZIM,Tadiwanashe Marumani,Jack Brassell,"Jack Brassell to Tadiwanashe Marumani, <b>SIX</b>, short and punished! Need only 12 runs more. This was a short ball on leg, Tadiwanashe Marumani swivels and pulls it over deep backward square leg for a flat a six"
1788447543048,16.5,2,ZIM,Tadiwanashe Marumani,Jack Brassell,"Jack Brassell to Tadiwanashe Marumani, <b>wide</b>, another wide ball by Jack Brassell, fires this down the leg-side"
1788447569122,16.5,2,ZIM,Tadiwanashe Marumani,Jack Brassell,"Jack Brassell to Tadiwanashe Marumani, 1 run, on the shorter side at the hips, tucked to fine leg for a single"
1788447596030,16.6,2,ZIM,Ryan Burl,Jack Brassell,"Jack Brassell to Ryan Burl, no run, short ball around off, Ryan Burl rides the bounce and defends"
1788447660131,17.1,2,ZIM,Tadiwanashe Marumani,Jan Balt,"Jan Balt to Tadiwanashe Marumani, 1 run, tossed up delivery around off, driven to long-off for a single"
1788447684657,17.2,2,ZIM,Ryan Burl,Jan Balt,"Jan Balt to Ryan Burl, no run, on a length around off, knocked down the pitch"
1788447699316,17.3,2,ZIM,Ryan Burl,Jan Balt,"Jan Balt to Ryan Burl, 1 run, watchfully driven towards cover for a single"
1788447737979,17.4,2,ZIM,Tadiwanashe Marumani,Jan Balt,"Jan Balt to Tadiwanashe Marumani, leg byes, goes for a reverse sweep, gets it off the glove towards third man. <b>150 up for Zimbabwe</b> - just six more needed"
1788447752695,17.5,2,ZIM,Tadiwanashe Marumani,Jan Balt,"Jan Balt to Tadiwanashe Marumani, no run, flatter through the air around off, Tadiwanashe Marumani defends it"
1788447774330,17.6,2,ZIM,Tadiwanashe Marumani,Jan Balt,"Jan Balt to Tadiwanashe Marumani, 2 runs, quicker through the air on leg, clipped through the leg-side for a couple of runs"
1788447896700,18.1,2,ZIM,Ryan Burl,JJ Smit,"Smit to Ryan Burl, <b>SIX</b>, Ryan Burl finishes it off in style. Short and wide outside off, Ryan Burl slaps it over deep extra cover for a flat six. <b>Zimbabwe win by 5 wickets with 11 balls to spare</b>"
1788447987614,$undefined,2,ZIM,,,$29
1788448684101,$undefined,2,ZIM,,,"<b>Innocent Kaia | Player of the Match:</b> It's always a great feeling when you're contributing to the team and help them win. This was only my second game, and I knew I needed to score runs for the team. [Thought process while coming out to bat] For me, it was quite clear. When we lose wickets, what we talk about in the team is to just carry forward, be aggressive and take the game to the bowlers. I just try to back myself whenever I'm playing the game, and that's it, paid off today."
1788448747054,$undefined,2,ZIM,,,$28
1788449102664,$undefined,2,ZIM,,,"<b>Sikandar Raza (1/2):</b> If you look at it, we bowled really well in the powerplay as well. And I thought the way we controlled the game in the middle was a lot better than we have been. Like I keep saying in the past few games that we have lost, we have ticked a lot of boxes where we keep missing out in few of those ticks. But today I thought there was a lot more ticks in the boxes. So certainly really, really happy with how we went on about our bowling as well and also the way we closed down. They might have gone 5-10 runs too many, but what people may not understand is such a windy ground here, sometimes hitting into the wind is very hard, but hitting with the wind even half-hearted is going for boundaries. So you have to accept all those things. But overall happy with the bowling performance and the way we went down about our business with the chase."
1788449102674,$undefined,2,ZIM,,,"<b>Raza (2/2):</b> We took 3 wickets in the powerplay. We always speak about that as well, how we fielded, how we took on our catches earlier on in this ground is quite tough to take high catches because of the wind being such a factor as well. So I thought how we started the inning and how we kept the pressure on for the first 10 overs and then how we went on about our business with the ball and in the field, I thought certainly that that stood out for me today. [You'll be watching the match tomorrow quite closely?] We all will be. It is what it is, let's see what the run rate looks like. I also think South Africa needs to beat Namibia at this ground as well, the score is 2-0, but yeah we'll be wishing for South Africa to win the game but I know both teams will play their best cricket and one will come out on top. "
1788449832326,$undefined,2,ZIM,,,"That’s all from us for today, folks! We’ll be back tomorrow for the South Africa-Namibia clash. It’s all to play for: a Namibia win will send them through to the final, while a South Africa victory will see Zimbabwe advance. Until then, see you!"
