Ball ID,Over/Ball,Innings,Team,Batsman,Bowler,Commentary
1790341554153,$undefined,$undefined,,,,"<b>Ghana</b> Squad: Joseph Theodore(w), Jayant Gautam, Richmond Baaleri, Obed Harvey(c), Vincent Ateak, Philip Yevugah, Alex Osei, Judah Solomon, Ayushmaan Mishra, Nitesh, David Ateak, Prince Adotei, Stanley Carson, Devender Singh Malik"
1790341770755,$undefined,$undefined,,,,"<b>Nigeria</b> Squad: Selim Salau, Ali Rahmon(w), Isaac Danladi, Miracle Akhigbe, Chima Akachukwu(c), Ridwan Abdulkareem, Abdullahi Ismail, Vincent Adewoye, Isaac Okpe, Peter Aho, Kenneth Boniface, Odion Isesele, Sulaimon Runsewe"
1790341774340,$undefined,$undefined,,,,<b>Squads:</b>
1790428522734,$undefined,$undefined,,,,<b>Nigeria have won the toss and have opted to bat</b>
1790428784023,$undefined,$undefined,,,,"<b>Ghana</b> (Playing XI): Vincent Ateak, Philip Yevugah, Richmond Baaleri, Alex Osei, Obed Harvey(c), Judah Solomon, Joseph Theodore(w), Ayushmaan Mishra, Nitesh, Jayant Gautam, David Ateak"
1790428885330,$undefined,$undefined,,,,"<b>Nigeria</b> (Playing XI): Sulaimon Runsewe(w), Ali Rahmon, Selim Salau, Isaac Danladi, Miracle Akhigbe, Vincent Adewoye, Isaac Okpe, Ridwan Abdulkareem, Chima Akachukwu(c), Odion Isesele, Wareez Azeez"
1790428893346,$undefined,$undefined,,,,<b>Teams:</b>
1790433818942,$undefined,1,NGA,,,<b>Sulaimon Runsewe and Ali Rahmon are at the crease. Sulaimon Runsewe is on strike. Vincent Ateak will open the attack</b>
1790433848493,0.1,1,NGA,Sulaimon Runsewe,Vincent Ateak,"Vincent Ateak to Sulaimon Runsewe, 2 runs"
1790433849207,0.2,1,NGA,Sulaimon Runsewe,Vincent Ateak,"Vincent Ateak to Sulaimon Runsewe, no run"
1790433849581,0.3,1,NGA,Sulaimon Runsewe,Vincent Ateak,"Vincent Ateak to Sulaimon Runsewe, no run"
1790433849962,0.4,1,NGA,Sulaimon Runsewe,Vincent Ateak,"Vincent Ateak to Sulaimon Runsewe, no run"
1790433872791,0.5,1,NGA,Selim Salau,Vincent Ateak,"Vincent Ateak to Selim Salau, <b>FOUR</b>"
1790433873173,0.6,1,NGA,Selim Salau,Vincent Ateak,"Vincent Ateak to Selim Salau, no run"
1790433879443,$undefined,1,NGA,Ali Rahmon,Obed Harvey,"<b>Obed Harvey, comes into the attack</b>"
1790433883027,1.1,1,NGA,Ali Rahmon,Obed Harvey,"Obed Harvey to Ali Rahmon, 1 run"
1790434084860,1.2,1,NGA,Selim Salau,Obed Harvey,"Obed Harvey to Selim Salau, 2 runs"
1790434086627,1.3,1,NGA,Selim Salau,Obed Harvey,"Obed Harvey to Selim Salau, no run"
1790434090956,1.4,1,NGA,Selim Salau,Obed Harvey,"Obed Harvey to Selim Salau, 1 run"
1790434096269,1.5,1,NGA,Ali Rahmon,Obed Harvey,"Obed Harvey to Ali Rahmon, 1 run"
1790434098254,1.6,1,NGA,Selim Salau,Obed Harvey,"Obed Harvey to Selim Salau, 1 run"
1790434104168,$undefined,1,NGA,Selim Salau,Judah Solomon,"<b>Judah Solomon, Left arm orthodox, comes into the attack</b>"
1790434175947,2.1,1,NGA,Selim Salau,Judah Solomon,"Judah Solomon to Selim Salau, 2 runs"
1790434181622,$undefined,1,NGA,Selim Salau,Judah Solomon,"Judah Solomon to Selim Salau, <b>THATS OUT!!</b> Caught!!"
1790434183938,2.2,1,NGA,Selim Salau,Judah Solomon,"Judah Solomon to Selim Salau, <b>out</b> Caught by Joseph Theodore!! <b>Selim Salau c Joseph Theodore b Judah Solomon 10(8) [4s-1]</b>"
1790434188515,$undefined,1,NGA,Sulaimon Runsewe,Judah Solomon,"<b>Sulaimon Runsewe, right handed bat, comes to the crease</b>"
1790434191887,2.3,1,NGA,Sulaimon Runsewe,Judah Solomon,"Judah Solomon to Sulaimon Runsewe, 1 run"
1790434193823,2.4,1,NGA,Ali Rahmon,Judah Solomon,"Judah Solomon to Ali Rahmon, 2 runs"
1790434195191,2.5,1,NGA,Ali Rahmon,Judah Solomon,"Judah Solomon to Ali Rahmon, no run"
1790434197661,2.6,1,NGA,Ali Rahmon,Judah Solomon,"Judah Solomon to Ali Rahmon, <b>FOUR</b>"
1790434212575,$undefined,1,NGA,Sulaimon Runsewe,Richmond Baaleri,"<b>Richmond Baaleri, right-arm off break, comes into the attack</b>"
1790434215299,3.1,1,NGA,Sulaimon Runsewe,Richmond Baaleri,"Richmond Baaleri to Sulaimon Runsewe, 1 run"
1790434217089,3.2,1,NGA,Ali Rahmon,Richmond Baaleri,"Richmond Baaleri to Ali Rahmon, 1 run"
1790434219370,3.3,1,NGA,Sulaimon Runsewe,Richmond Baaleri,"Richmond Baaleri to Sulaimon Runsewe, <b>FOUR</b>"
1790434220811,3.4,1,NGA,Sulaimon Runsewe,Richmond Baaleri,"Richmond Baaleri to Sulaimon Runsewe, no run"
1790434221342,3.5,1,NGA,Sulaimon Runsewe,Richmond Baaleri,"Richmond Baaleri to Sulaimon Runsewe, no run"
1790434222883,3.6,1,NGA,Sulaimon Runsewe,Richmond Baaleri,"Richmond Baaleri to Sulaimon Runsewe, no run"
1790434229195,$undefined,1,NGA,Ali Rahmon,Nitesh Hooda,"<b>Nitesh Hooda, right-arm medium, comes into the attack</b>"
1790434231731,4.1,1,NGA,Ali Rahmon,Nitesh Hooda,"Nitesh Hooda to Ali Rahmon, <b>FOUR</b>"
1790434233770,4.2,1,NGA,Ali Rahmon,Nitesh Hooda,"Nitesh Hooda to Ali Rahmon, 1 run"
1790434234111,4.3,1,NGA,Sulaimon Runsewe,Nitesh Hooda,"Nitesh Hooda to Sulaimon Runsewe, no run"
1790434234460,4.4,1,NGA,Sulaimon Runsewe,Nitesh Hooda,"Nitesh Hooda to Sulaimon Runsewe, no run"
1790434238993,4.5,1,NGA,Sulaimon Runsewe,Nitesh Hooda,"Nitesh Hooda to Sulaimon Runsewe, 3 runs"
1790434242744,4.6,1,NGA,Ali Rahmon,Nitesh Hooda,"Nitesh Hooda to Ali Rahmon, 2 runs"
1790434251272,$undefined,1,NGA,Sulaimon Runsewe,Obed Harvey,<b>Obed Harvey [1.0-0-6-0] is back into the attack</b>
1790434254745,5.1,1,NGA,Sulaimon Runsewe,Obed Harvey,"Obed Harvey to Sulaimon Runsewe, 2 runs"
1790434255213,5.2,1,NGA,Sulaimon Runsewe,Obed Harvey,"Obed Harvey to Sulaimon Runsewe, no run"
1790434259403,5.3,1,NGA,Sulaimon Runsewe,Obed Harvey,"Obed Harvey to Sulaimon Runsewe, 2 runs"
1790434260074,5.4,1,NGA,Sulaimon Runsewe,Obed Harvey,"Obed Harvey to Sulaimon Runsewe, no run"
1790434261893,5.5,1,NGA,Sulaimon Runsewe,Obed Harvey,"Obed Harvey to Sulaimon Runsewe, no run"
1790434262893,5.6,1,NGA,Sulaimon Runsewe,Obed Harvey,"Obed Harvey to Sulaimon Runsewe, no run"
1790434271075,$undefined,1,NGA,Ali Rahmon,Vincent Ateak,<b>Vincent Ateak [1.0-0-6-0] is back into the attack</b>
1790434274259,6.1,1,NGA,Ali Rahmon,Vincent Ateak,"Vincent Ateak to Ali Rahmon, 1 run"
1790434311500,7.3,1,NGA,Sulaimon Runsewe,Ayushmaan Mishra,"Ayushmaan Mishra to Sulaimon Runsewe, 1 run"
1790434313745,7.4,1,NGA,Ali Rahmon,Ayushmaan Mishra,"Ayushmaan Mishra to Ali Rahmon, no run"
1790434315712,7.5,1,NGA,Ali Rahmon,Ayushmaan Mishra,"Ayushmaan Mishra to Ali Rahmon, 2 runs"
1790434317393,7.6,1,NGA,Ali Rahmon,Ayushmaan Mishra,"Ayushmaan Mishra to Ali Rahmon, 1 run"
1790434323487,$undefined,1,NGA,Ali Rahmon,Judah Solomon,<b>Judah Solomon [1.0-0-9-1] is back into the attack</b>
1790434325415,8.1,1,NGA,Ali Rahmon,Judah Solomon,"Judah Solomon to Ali Rahmon, no run"
1790434325879,8.2,1,NGA,Ali Rahmon,Judah Solomon,"Judah Solomon to Ali Rahmon, no run"
1790434327558,8.3,1,NGA,Ali Rahmon,Judah Solomon,"Judah Solomon to Ali Rahmon, <b>FOUR</b>"
1790434329081,8.4,1,NGA,Ali Rahmon,Judah Solomon,"Judah Solomon to Ali Rahmon, no run"
1790434330818,8.5,1,NGA,Ali Rahmon,Judah Solomon,"Judah Solomon to Ali Rahmon, 2 runs"
1790434331186,8.6,1,NGA,Ali Rahmon,Judah Solomon,"Judah Solomon to Ali Rahmon, no run"
1790434337422,$undefined,1,NGA,Sulaimon Runsewe,Obed Harvey,<b>Obed Harvey [2.0-0-10-0] is back into the attack</b>
1790434339924,$undefined,1,NGA,Sulaimon Runsewe,Obed Harvey,"Obed Harvey to Sulaimon Runsewe, <b>THATS OUT!!</b> Bowled!!"
1790434340885,9.1,1,NGA,Sulaimon Runsewe,Obed Harvey,"Obed Harvey to Sulaimon Runsewe, <b>out</b> Bowled!! <b>Sulaimon Runsewe b Obed Harvey 19(23) [4s-1]</b>"
1790434342805,$undefined,1,NGA,Isaac Danladi,Obed Harvey,"<b>Isaac Danladi, left handed bat, comes to the crease</b>"
1790434344861,9.2,1,NGA,Isaac Danladi,Obed Harvey,"Obed Harvey to Isaac Danladi, no run"
1790434347128,9.3,1,NGA,Isaac Danladi,Obed Harvey,"Obed Harvey to Isaac Danladi, 2 runs"
1790434348878,9.4,1,NGA,Isaac Danladi,Obed Harvey,"Obed Harvey to Isaac Danladi, 1 run"
1790434349492,9.5,1,NGA,Ali Rahmon,Obed Harvey,"Obed Harvey to Ali Rahmon, no run"
1790434351219,9.6,1,NGA,Ali Rahmon,Obed Harvey,"Obed Harvey to Ali Rahmon, no run"
1790434360538,$undefined,1,NGA,Isaac Danladi,Richmond Baaleri,<b>Richmond Baaleri [1.0-0-6-0] is back into the attack</b>
1790434363003,10.1,1,NGA,Isaac Danladi,Richmond Baaleri,"Richmond Baaleri to Isaac Danladi, <b>FOUR</b>"
1790434363389,10.2,1,NGA,Isaac Danladi,Richmond Baaleri,"Richmond Baaleri to Isaac Danladi, no run"
1790434365381,10.3,1,NGA,Isaac Danladi,Richmond Baaleri,"Richmond Baaleri to Isaac Danladi, 2 runs"
1790434367302,10.4,1,NGA,Isaac Danladi,Richmond Baaleri,"Richmond Baaleri to Isaac Danladi, 1 run"
1790434370032,10.5,1,NGA,Ali Rahmon,Richmond Baaleri,"Richmond Baaleri to Ali Rahmon, 1 run"
1790434371781,10.6,1,NGA,Isaac Danladi,Richmond Baaleri,"Richmond Baaleri to Isaac Danladi, 2 runs"
1790434376652,$undefined,1,NGA,Ali Rahmon,Ayushmaan Mishra,<b>Ayushmaan Mishra [1.0-0-6-0] is back into the attack</b>
1790434389815,11.1,1,NGA,Ali Rahmon,Ayushmaan Mishra,"Ayushmaan Mishra to Ali Rahmon, 2 runs"
1790434390135,11.2,1,NGA,Ali Rahmon,Ayushmaan Mishra,"Ayushmaan Mishra to Ali Rahmon, no run"
1790434392859,11.3,1,NGA,Ali Rahmon,Ayushmaan Mishra,"Ayushmaan Mishra to Ali Rahmon, 1 run"
1790434395094,11.4,1,NGA,Isaac Danladi,Ayushmaan Mishra,"Ayushmaan Mishra to Isaac Danladi, 1 run"
1790434397660,11.5,1,NGA,Ali Rahmon,Ayushmaan Mishra,"Ayushmaan Mishra to Ali Rahmon, <b>wide</b>"
1790434399601,11.5,1,NGA,Ali Rahmon,Ayushmaan Mishra,"Ayushmaan Mishra to Ali Rahmon, 2 runs"
1790434401424,11.6,1,NGA,Ali Rahmon,Ayushmaan Mishra,"Ayushmaan Mishra to Ali Rahmon, no run"
1790434406508,$undefined,1,NGA,Isaac Danladi,Nitesh Hooda,<b>Nitesh Hooda [1.0-0-10-0] is back into the attack</b>
1790434408740,12.1,1,NGA,Isaac Danladi,Nitesh Hooda,"Nitesh Hooda to Isaac Danladi, no run"
1790434410896,12.2,1,NGA,Isaac Danladi,Nitesh Hooda,"Nitesh Hooda to Isaac Danladi, no run"
1790434413014,12.3,1,NGA,Isaac Danladi,Nitesh Hooda,"Nitesh Hooda to Isaac Danladi, 1 run"
1790434415079,12.4,1,NGA,Ali Rahmon,Nitesh Hooda,"Nitesh Hooda to Ali Rahmon, 2 runs"
1790434416942,12.5,1,NGA,Ali Rahmon,Nitesh Hooda,"Nitesh Hooda to Ali Rahmon, 1 run"
1790434419376,12.6,1,NGA,Isaac Danladi,Nitesh Hooda,"Nitesh Hooda to Isaac Danladi, <b>wide</b>"
1790434420719,12.6,1,NGA,Isaac Danladi,Nitesh Hooda,"Nitesh Hooda to Isaac Danladi, <b>wide</b>"
1790434423039,12.6,1,NGA,Isaac Danladi,Nitesh Hooda,"Nitesh Hooda to Isaac Danladi, 1 run"
1790434593648,13.1,1,NGA,Isaac Danladi,Ayushmaan Mishra,"Ayushmaan Mishra to Isaac Danladi, no run"
1790434595421,13.2,1,NGA,Isaac Danladi,Ayushmaan Mishra,"Ayushmaan Mishra to Isaac Danladi, 2 runs"
1790434602060,$undefined,1,NGA,Isaac Danladi,Ayushmaan Mishra,"Ayushmaan Mishra to Isaac Danladi, <b>THATS OUT!!</b> Caught!!"
1790434603862,13.3,1,NGA,Isaac Danladi,Ayushmaan Mishra,"Ayushmaan Mishra to Isaac Danladi, <b>out</b> Caught by Jayant Gautam!! <b>Isaac Danladi c Jayant Gautam b Ayushmaan Mishra 17(16) [4s-1]</b>"
1790434608119,$undefined,1,NGA,Vincent Adewoye,Ayushmaan Mishra,"<b>Vincent Adewoye, right handed bat, comes to the crease</b>"
1790434611304,13.4,1,NGA,Vincent Adewoye,Ayushmaan Mishra,"Ayushmaan Mishra to Vincent Adewoye, no run"
1790434611630,13.5,1,NGA,Vincent Adewoye,Ayushmaan Mishra,"Ayushmaan Mishra to Vincent Adewoye, no run"
1790434613794,13.6,1,NGA,Vincent Adewoye,Ayushmaan Mishra,"Ayushmaan Mishra to Vincent Adewoye, 1 run"
1790434686621,14.1,1,NGA,Vincent Adewoye,Vincent Ateak,"Vincent Ateak to Vincent Adewoye, 1 run"
