Ball ID,Over/Ball,Innings,Team,Batsman,Bowler,Commentary
1786144652869,10.5,2,BRAZIL,Yasar Haroon,Mahmed Bawa,"Mahmed Bawa to Yasar Haroon, 3 runs"
1786144656652,10.6,2,BRAZIL,Luiz Morais,Mahmed Bawa,"Mahmed Bawa to Luiz Morais, no run"
1786144660177,11.1,2,BRAZIL,Yasar Haroon,Muhammad Sarkar,"Muhammad Sarkar to Yasar Haroon, no run"
1786144662522,11.2,2,BRAZIL,Yasar Haroon,Muhammad Sarkar,"Muhammad Sarkar to Yasar Haroon, <b>FOUR</b>"
1786144664906,11.3,2,BRAZIL,Yasar Haroon,Muhammad Sarkar,"Muhammad Sarkar to Yasar Haroon, <b>SIX</b>"
1786144667585,11.4,2,BRAZIL,Yasar Haroon,Muhammad Sarkar,"Muhammad Sarkar to Yasar Haroon, 1 run"
1786144670207,11.5,2,BRAZIL,Luiz Morais,Muhammad Sarkar,"Muhammad Sarkar to Luiz Morais, 1 run"
1786144672990,11.6,2,BRAZIL,Yasar Haroon,Muhammad Sarkar,"Muhammad Sarkar to Yasar Haroon, 2 runs"
1786144677791,$undefined,2,BRAZIL,Luiz Morais,Abdul Makda,"<b>Abdul Makda, right-arm off break, comes into the attack</b>"
1786144681270,12.1,2,BRAZIL,Luiz Morais,Abdul Makda,"Abdul Makda to Luiz Morais, <b>FOUR</b>"
1786144683948,12.2,2,BRAZIL,Luiz Morais,Abdul Makda,"Abdul Makda to Luiz Morais, <b>SIX</b>"
1786144692448,12.3,2,BRAZIL,Luiz Morais,Abdul Makda,"Abdul Makda to Luiz Morais, no run"
1786144694823,12.4,2,BRAZIL,Luiz Morais,Abdul Makda,"Abdul Makda to Luiz Morais, 2 runs"
1786144697785,12.5,2,BRAZIL,Luiz Morais,Abdul Makda,"Abdul Makda to Luiz Morais, 1 run"
1786144701348,12.6,2,BRAZIL,Yasar Haroon,Abdul Makda,"Abdul Makda to Yasar Haroon, no run"
1786144707960,$undefined,2,BRAZIL,Luiz Morais,Kalpesh Ahir,"<b>Kalpesh Ahir, right-arm medium, comes into the attack</b>"
1786144710419,13.1,2,BRAZIL,Luiz Morais,Kalpesh Ahir,"Kalpesh Ahir to Luiz Morais, 1 run"
1786144713024,13.2,2,BRAZIL,Yasar Haroon,Kalpesh Ahir,"Kalpesh Ahir to Yasar Haroon, <b>FOUR</b>"
1786144718617,13.3,2,BRAZIL,Yasar Haroon,Kalpesh Ahir,"Kalpesh Ahir to Yasar Haroon, byes, 2 runs"
1786144848697,$undefined,2,BRAZIL,,,<b>Result - Brazil won by 7 wkts</b>
