Ball ID,Over/Ball,Innings,Team,Batsman,Bowler,Commentary
1786041203507,8.2,2,BRAZIL,Yasar Haroon,Pravin Hemant Shamdasani,"Pravin Hemant Shamdasani to Yasar Haroon, 1 run"
1786041206472,8.3,2,BRAZIL,Michel Assuncao,Pravin Hemant Shamdasani,"Pravin Hemant Shamdasani to Michel Assuncao, 1 run"
1786041209101,8.4,2,BRAZIL,Yasar Haroon,Pravin Hemant Shamdasani,"Pravin Hemant Shamdasani to Yasar Haroon, 1 run"
1786041212337,8.5,2,BRAZIL,Michel Assuncao,Pravin Hemant Shamdasani,"Pravin Hemant Shamdasani to Michel Assuncao, 1 run"
1786041216027,8.6,2,BRAZIL,Yasar Haroon,Pravin Hemant Shamdasani,"Pravin Hemant Shamdasani to Yasar Haroon, <b>FOUR</b>"
1786041224624,$undefined,2,BRAZIL,Michel Assuncao,Harshil Brahmbhatt,"<b>Harshil Brahmbhatt, comes into the attack</b>"
1786041234145,$undefined,2,BRAZIL,Michel Assuncao,Harshil Brahmbhatt,"Harshil Brahmbhatt to Michel Assuncao, <b>THATS OUT!!</b> Caught!!"
1786041235828,9.1,2,BRAZIL,Michel Assuncao,Harshil Brahmbhatt,"Harshil Brahmbhatt to Michel Assuncao, <b>out</b> Caught by Roshan De silva!! <b>Michel Assuncao c Roshan De silva b Harshil Brahmbhatt 31(22) [4s-4]</b>"
1786041238134,$undefined,2,BRAZIL,Chrystian Machado,Harshil Brahmbhatt,"<b>Chrystian Machado, right handed bat, comes to the crease</b>"
1786041240077,9.2,2,BRAZIL,Chrystian Machado,Harshil Brahmbhatt,"Harshil Brahmbhatt to Chrystian Machado, no run"
1786041240514,9.3,2,BRAZIL,Chrystian Machado,Harshil Brahmbhatt,"Harshil Brahmbhatt to Chrystian Machado, no run"
1786041240853,9.4,2,BRAZIL,Chrystian Machado,Harshil Brahmbhatt,"Harshil Brahmbhatt to Chrystian Machado, no run"
1786041244977,9.5,2,BRAZIL,Chrystian Machado,Harshil Brahmbhatt,"Harshil Brahmbhatt to Chrystian Machado, 1 run"
1786041246761,9.6,2,BRAZIL,Yasar Haroon,Harshil Brahmbhatt,"Harshil Brahmbhatt to Yasar Haroon, 1 run"
1786041256619,$undefined,2,BRAZIL,Yasar Haroon,Nikhil Deshmukh,"<b>Nikhil Deshmukh, right-arm medium, comes into the attack</b>"
1786041257680,10.1,2,BRAZIL,Yasar Haroon,Nikhil Deshmukh,"Nikhil Deshmukh to Yasar Haroon, no run"
1786041259563,10.2,2,BRAZIL,Yasar Haroon,Nikhil Deshmukh,"Nikhil Deshmukh to Yasar Haroon, 1 run"
1786041261569,10.3,2,BRAZIL,Chrystian Machado,Nikhil Deshmukh,"Nikhil Deshmukh to Chrystian Machado, 1 run"
1786041263312,10.4,2,BRAZIL,Yasar Haroon,Nikhil Deshmukh,"Nikhil Deshmukh to Yasar Haroon, 1 run"
1786041290152,$undefined,2,BRAZIL,,,<b>Match Result : Brazil won by 6 wkts</b>
