Ball ID,Over/Ball,Innings,Team,Batsman,Bowler,Commentary
1789138140222,40.2,2,NAM,Jack Brassell,Duan Jansen,"Duan Jansen to Jack Brassell, no run, <b>lovely delivery!</b> On a back of a length just outside off, angling in with the extra bounce, Brassell plays inside the line and gets beaten"
1789138175886,40.3,2,NAM,Jack Brassell,Duan Jansen,"Duan Jansen to Jack Brassell, <b>wide</b>, length delivery down leg, Brassell lets it go. Wided"
1789138224243,40.3,2,NAM,Jack Brassell,Duan Jansen,"Duan Jansen to Jack Brassell, no run, back of a length on middle and off, Brassell hops and blocks it towards covers"
1789138248460,40.4,2,NAM,Jack Brassell,Duan Jansen,"Duan Jansen to Jack Brassell, 1 run, back of a length on middle and leg, Brassell tucks it round the corner to get off the mark"
1789138297678,40.5,2,NAM,Ruben Trumpelmann,Duan Jansen,"Duan Jansen to Ruben Trumpelmann, no run, pitched up on middle and off, Trumpelmann tries to flick it across but gets a leading edge. It falls well short of mid-off"
1789138333805,40.6,2,NAM,Ruben Trumpelmann,Duan Jansen,"Duan Jansen to Ruben Trumpelmann, <b>wide</b>, full delivery wide outside off, cuts the tramline. Wided"
1789138364964,40.6,2,NAM,Ruben Trumpelmann,Duan Jansen,"Duan Jansen to Ruben Trumpelmann, no run, fullish delivery on off, Trumpelmann drives it off the inner half to mid-on"
1789138430500,$undefined,2,NAM,Jack Brassell,Eathan Bosch,<b>Eathan Bosch [7.0-1-26-2] is back into the attack</b>
1789138437294,41.1,2,NAM,Jack Brassell,Eathan Bosch,"Eathan Bosch to Jack Brassell, no run, full delivery on off, driven on the up to mid-off"
1789138470640,41.2,2,NAM,Jack Brassell,Eathan Bosch,"Eathan Bosch to Jack Brassell, no run, back of a length delivery on off, Brassell rises on his toes and punches it to backward point"
1789138510150,41.3,2,NAM,Jack Brassell,Eathan Bosch,"Eathan Bosch to Jack Brassell, 1 run, shortish delivery outside off, Brassell tries to cut it over point but gets a thick outside edge down to third man"
1789138552887,41.4,2,NAM,Ruben Trumpelmann,Eathan Bosch,"Eathan Bosch to Ruben Trumpelmann, no run, <b>almost chopped on!</b> Shortish delivery angling in from round the wicket. Trumpelmann tries to pull it across but gets a thick inside-edge onto his pads"
1789138585327,$undefined,2,NAM,Ruben Trumpelmann,Eathan Bosch,"Eathan Bosch to Ruben Trumpelmann, <b>THATS OUT!!</b> Bowled!!"
1789138587087,41.5,2,NAM,Ruben Trumpelmann,Eathan Bosch,"Eathan Bosch to Ruben Trumpelmann, <b>out</b> Bowled!! <b>That's the final nail in the coffin!</b> Very full delivery angling in on off, Trumpelmann tries to hit it across but it dips on him and he gets beaten on the under-edge. The ball crashes into the off-stump. Bosch finishes with a 3-fer. <b>South Africa seal the series 2-0</b> with one game to go. <b>Ruben Trumpelmann b Eathan Bosch 30(27) [4s-4 6s-1]</b>"
1789138677480,$undefined,2,NAM,,,"<b>16:57 Local Time, 14:57 GMT, 20:27 IST:</b> South Africa have stamped their authority on this game. It turned out to be another lopsided affair. Erasmus won the toss and once again chose to bowl. Their new-ball bowlers started well but the hosts lost their way through the middle overs. Esterhuizen's maiden ODI ton and de Zorzi's 79 set the platform for the visitors while a few breezy cameos from their lower middle-order enabled them to post 335 on the board. In reply, the duo of Duan Jansen and Eathan Bosch breathed fire with the new ball, thereby breaking the backbone of the hosts as they were reduced to 32/5. Erasmus batted well and struck a fifty but there was no real support from the other end. A couple of cameos from the tail just delayed the inevitable. Jansen took a 4-fer while Bosch finished things off with a 3-fer. Stick around for the presentations..."
1789139574979,$undefined,2,NAM,,,"<b>Connor Esterhuizen | Player of the Match:</b> (On what does this special knock mean to him?) Thank you very much. No, it means a lot. The fact that we got the win just puts the icing on the top as well. (On when did he start believing that this was turning into something special?) I think once you get in and you get a start opening the batting, you always think that you can kick on. And I think that's an opener's job, or a batter's job. Once you kick in, you try and get a big score for the team, and it happened to be my day today. (On the importance of taking time at the top?) Yeah, it's very important. I mean, the ebbs and flows of an ODI game are just like what it was today: absorb a bit of pressure and then hopefully kick on."
1789139758972,$undefined,2,NAM,,,$28
1789139908870,$undefined,2,NAM,,,"<b>Erasmus (2/2):</b> (On the positives) I guess just more balls under the belt for guys against high-quality cricketers like the South Africans are. So now we need seven to eight guys stepping up on the day to really run them close. So I think that could be Sunday, and that could be a big momentum gainer for us going into the next couple of months of important cricket. So still lots to play for on Sunday for us. Yeah, the positives to take is obviously Jack Brassell's four wickets. I felt, to a degree, Waldo Smith bowling in the middle was really good, and with the bat obviously a couple of guys got their bit of runs and a bit of confidence."
1789140054195,$undefined,2,NAM,,,"<b>Prenelan Subrayen:</b> (On the huge victory) Yeah, I think the guys really marshalled it well. I think well done to Connor. The way he marshalled in that powerplay (first) and getting out of that powerplay and running his inning kind of set the platform and base for other guys to bat around. (On the conversation heading into this match?) There wasn't much conversation. I think each guy has their own processes and their own thought patterns, and I think the coach allows the guys to have their own thought patterns. So the guys had their plans and today it worked out. (On Brevis' brilliant catch) I think it's quite expected for him, but yeah, to watch that and be on the field for that is definitely extreme."
1789140180208,$undefined,2,NAM,,,"So, that's it from our side. The longer format of the game has exposed Namibia's inexperience at the highest level against a top-quality side. They have the capability but if they are to succeed in ODIs against top teams, they need to step up on their consistency and succeed for longer phases of play. They will once again have an opportunity to pull off an upset on Sunday. See you then. Until next time, goodbye and cheers!"
