Ball ID,Over/Ball,Innings,Team,Batsman,Bowler,Commentary
1788528106986,17.4,1,RSA,Rubin Hermann,JJ Smit,"Smit to Rubin Hermann, <b>FOUR</b>, well executed reverse paddle, low full-toss outside off, Hermann had made up his mind and had backed away to the leg side, changes gears and reverse laps it over the fielder to third man"
1788528158897,17.5,1,RSA,Rubin Hermann,JJ Smit,"Smit to Rubin Hermann, no run, length delivery on middle and leg, Hermann once again attempts the reverse paddle, but misses it completely"
1788528183253,17.6,1,RSA,Rubin Hermann,JJ Smit,"Smit to Rubin Hermann, 1 run, keeps it full on off, Hermann backs away and drives it to long-off"
1788528250386,18.1,1,RSA,Rubin Hermann,Ruben Trumpelmann,"Ruben Trumpelmann to Rubin Hermann, no run, he's missed out again, low full-toss down the leg side, Hermann moves across the off side and attempts the paddle, missed it and looks at the umpire as wide was not signalled"
1788528282772,18.2,1,RSA,Rubin Hermann,Ruben Trumpelmann,"Ruben Trumpelmann to Rubin Hermann, 2 runs, slower short delivery, Hermann pulls it in the gap to deep mid-wicket for a couple"
1788528314830,$undefined,1,RSA,Rubin Hermann,Ruben Trumpelmann,"Ruben Trumpelmann to Rubin Hermann, <b>THATS OUT!!</b> Caught!!"
1788528315440,18.3,1,RSA,Rubin Hermann,Ruben Trumpelmann,"Ruben Trumpelmann to Rubin Hermann, <b>out</b> Caught by Zane Green!! That's an acrobatic take from the keeper, slower delivery on a length down the leg side, Hermann once again goes for the paddle shot, it goes off the gloves as he missed it, Zane Green dives full length to his right and clings onto a one-handed blinder. <b>Rubin Hermann c Zane Green b Ruben Trumpelmann 26(21) [4s-3]</b>"
1788528422974,$undefined,1,RSA,Eathan Bosch,Ruben Trumpelmann,"<b>Eathan Bosch, right handed bat, comes to the crease</b>"
1788528426699,18.4,1,RSA,Eathan Bosch,Ruben Trumpelmann,"Ruben Trumpelmann to Eathan Bosch, 1 run, fuller length delivery on off, Bosch drives it down to long-off"
1788528461699,18.5,1,RSA,Lhuan-dre Pretorius,Ruben Trumpelmann,"Ruben Trumpelmann to Lhuan-dre Pretorius, no run, keeps it full on middle, Pretorius drives it down on the track, well stopped by the bowler"
1788528494217,18.6,1,RSA,Lhuan-dre Pretorius,Ruben Trumpelmann,"Ruben Trumpelmann to Lhuan-dre Pretorius, 1 run, widish yorker from round the wicket, Pretorius digs it out to cover"
1788528540623,$undefined,1,RSA,Lhuan-dre Pretorius,Gerhard Erasmus,<b>Gerhard Erasmus [2.0-0-15-0] is back into the attack</b>
1788528580161,19.1,1,RSA,Lhuan-dre Pretorius,Gerhard Erasmus,"Gerhard Erasmus to Lhuan-dre Pretorius, <b>SIX</b>, the decision to bowl spin has back-fired, it was fired in full and in the slot, Pretorius picks it and sends it packing into the grass banks over long-off, it has gone right into the parking lot, replacement ball please! <b>Moves to 95</b>"
1788528660000,19.2,1,RSA,Lhuan-dre Pretorius,Gerhard Erasmus,"Gerhard Erasmus to Lhuan-dre Pretorius, no run, fired in full outside off, bit of away turn, Pretorius swings hard and misses it"
1788528687345,19.3,1,RSA,Lhuan-dre Pretorius,Gerhard Erasmus,"Gerhard Erasmus to Lhuan-dre Pretorius, <b>SIX</b>, he reaches to his ton in some style, speared in full on middle, Pretorius backs away and launches it long-on with ease, right into the stands, celebrates by taking off his helmet and is congratulated by Bosch"
1788528737588,$undefined,1,RSA,Lhuan-dre Pretorius,Gerhard Erasmus,"Gerhard Erasmus to Lhuan-dre Pretorius, <b>THATS OUT!!</b> Bowled!!"
1788528738303,19.4,1,RSA,Lhuan-dre Pretorius,Gerhard Erasmus,"Gerhard Erasmus to Lhuan-dre Pretorius, <b>out</b> Bowled!! Excellent comeback from Gerhard Erasmus, fired in a yorker, right on the money, Pretorius on the back foot, plays all over it. The ball sneaks through to crash into middle and off stump, a fine innings comes to an end. <b>Lhuan-dre Pretorius b Gerhard Erasmus 101(53) [4s-5 6s-8]</b>"
1788528799020,$undefined,1,RSA,Jordan Hermann,Gerhard Erasmus,"<b>Jordan Hermann, left handed bat, comes to the crease</b>"
1788528814870,19.5,1,RSA,Jordan Hermann,Gerhard Erasmus,"Gerhard Erasmus to Jordan Hermann, 1 run, straying on the pads, Hermann works it to short fine leg"
1788528848696,19.6,1,RSA,Eathan Bosch,Gerhard Erasmus,"Gerhard Erasmus to Eathan Bosch, no run, full again on off, Bosch can only manage to hit it back to the bowler"
1788528879803,$undefined,1,RSA,,,"<b>15:34 Local Time, 13:34 GMT, 19:04 IST:</b> A fine finish by Southe Africa have taken them to a mammoth 228. The foundation was laid by the opening duo of Pretorious and Esterhizen, who put on 156 for the 1st wicket inside 12 overs. It was an absolute carnage as they scored all round the ground. The decision to bowl first back-fired for the hosts as runs came thick and fast. Pretorious stayed till the end and completed his ton and he was ably supported by Esterhizen at the top and Herman towards the end. For Namibia, only Jan Balt bowled well to take 2 wickets, with rest of the bowlers leaking runs on a regular basis. This could be a tough"
1788529612628,$undefined,1,RSA,,,Right welcome back for the chase...
1788529642507,$undefined,2,NAM,,,<b>Louren Steenkamp and Jan Frylinck are at the crease. Louren Steenkamp is on strike. Kwena Maphaka will open the attack</b>
1788529647661,0.1,2,NAM,Louren Steenkamp,Kwena Maphaka,"Kwena Maphaka to Louren Steenkamp, leg byes, 1 run"
1788529698232,0.2,2,NAM,Jan Frylinck,Kwena Maphaka,"Kwena Maphaka to Jan Frylinck, no run, well directed short delivery, Frylinck gets right behind the line and defends it"
1788529735501,0.3,2,NAM,Jan Frylinck,Kwena Maphaka,"Kwena Maphaka to Jan Frylinck, <b>FOUR</b>, to deep backward point"
1788529789715,0.4,2,NAM,Jan Frylinck,Kwena Maphaka,"Kwena Maphaka to Jan Frylinck, no run"
1788529830714,0.5,2,NAM,Jan Frylinck,Kwena Maphaka,"Kwena Maphaka to Jan Frylinck, 1 run, full and angling into the pads, Frylinck works it to deep square leg"
1788529865065,0.6,2,NAM,Louren Steenkamp,Kwena Maphaka,"Kwena Maphaka to Louren Steenkamp, <b>FOUR</b>, to deep backward point"
1788529914492,$undefined,2,NAM,Jan Frylinck,Eathan Bosch,"<b>Eathan Bosch, right-arm fast, comes into the attack</b>"
1788529932245,1.1,2,NAM,Jan Frylinck,Eathan Bosch,"Eathan Bosch to Jan Frylinck, no run"
1788529966532,1.2,2,NAM,Jan Frylinck,Eathan Bosch,"Eathan Bosch to Jan Frylinck, 1 run, to deep backward point"
1788530010820,1.3,2,NAM,Louren Steenkamp,Eathan Bosch,"Eathan Bosch to Louren Steenkamp, 1 run, touch shorter and angling into the hips, tucked away to deep square leg"
1788530043883,1.4,2,NAM,Jan Frylinck,Eathan Bosch,"Eathan Bosch to Jan Frylinck, 1 run, to point"
