Ball ID,Over/Ball,Innings,Team,Batsman,Bowler,Commentary
1788275058259,15.4,2,ZIM,Newman Nyamhuri,Bjorn Fortuin,"Bjorn Fortuin to Newman Nyamhuri, <b>FOUR</b>, whoa! That is some hit. He has nailed the reverse sweep. Drifting in with the arm,  Nyamhuri does not bend down much but manages to get under the length, swats it flat and over backward point, one bounce and over the ropes. That would have made any top-order batter proud"
1788275096112,15.5,2,ZIM,Newman Nyamhuri,Bjorn Fortuin,"Bjorn Fortuin to Newman Nyamhuri, no run, spots Nyamhuri back away and keeps it outside off, he can't reach and the ball is within the marker"
1788275113264,15.6,2,ZIM,Newman Nyamhuri,Bjorn Fortuin,"Bjorn Fortuin to Newman Nyamhuri, 2 runs, <b>dropped!</b> That should have been the game. Nyamhuri crouches low and swings it high towards deep mid-wicket. Two fielders converge and they don't hold on. He tries to take it with his fingers pointing up but the ball pops out and goes to ground"
1788275172382,$undefined,2,ZIM,Newman Nyamhuri,Kwena Maphaka,<b>Kwena Maphaka [3.0-0-27-0] is back into the attack</b>
1788275182497,16.1,2,ZIM,Kundai Matigimu,Kwena Maphaka,"Kwena Maphaka to Kundai Matigimu, 1 run, back of a length around off, Matigimu guides it behind square on the off-side and gets off strike"
1788275216078,16.2,2,ZIM,Newman Nyamhuri,Kwena Maphaka,"Kwena Maphaka to Newman Nyamhuri, no run, slower ball around leg, Nyamhuri makes room and toe-ends the big drive back to Maphaka"
1788275256362,16.3,2,ZIM,Newman Nyamhuri,Kwena Maphaka,"Kwena Maphaka to Newman Nyamhuri, 2 runs, angled in from round the wicket, Nyamhuri tucks it backward of square and races back for the second"
1788275286749,16.4,2,ZIM,Newman Nyamhuri,Kwena Maphaka,"Kwena Maphaka to Newman Nyamhuri, no run, full pitcher on off, Nyamhuri drives hard and straight to mid-off"
1788275336749,16.5,2,ZIM,Newman Nyamhuri,Kwena Maphaka,"Kwena Maphaka to Newman Nyamhuri, 1 run, fuller and outside off, Nyamhuri throws the kitchen sink and the outside-edge flies down to third man"
1788275347764,16.6,2,ZIM,Kundai Matigimu,Kwena Maphaka,"Kwena Maphaka to Kundai Matigimu, 2 runs, attacks the stumps, Matigimu flicks in front of square and the pair collect a brace"
1788275488977,17.1,2,ZIM,Newman Nyamhuri,Bjorn Fortuin,"Bjorn Fortuin to Newman Nyamhuri, no run, fired full and outside off, Matigimu swings hard and misses"
1788275490481,17.2,2,ZIM,Newman Nyamhuri,Bjorn Fortuin,"Bjorn Fortuin to Newman Nyamhuri, no run, darted full and outside off, Nyamhuri does not offer a shot thinking it is a wide"
1788275495116,17.3,2,ZIM,Newman Nyamhuri,Bjorn Fortuin,"Bjorn Fortuin to Newman Nyamhuri, byes, 2 runs, quick delivery down leg, Nyamhuri misses the sweep and Esterhuizen fumbles, couple of byes"
1788275515442,$undefined,2,ZIM,Newman Nyamhuri,Bjorn Fortuin,"Bjorn Fortuin to Newman Nyamhuri, <b>THATS OUT!!</b> Caught!!"
1788275516055,17.4,2,ZIM,Newman Nyamhuri,Bjorn Fortuin,"Bjorn Fortuin to Newman Nyamhuri, <b>out</b> Caught by Eathan Bosch!! Fortuin finishes it off. <b>South Africa win by 43 runs.</b> But credit to Nyamhuri for not giving up easily. This is flatter, quicker and bowled into the pitch, Nyamhuri swings hard and gets it high on the bat. The ball skies towards long-off and Bosch moves to his right, slides and makes no mistake. <b>Newman Nyamhuri c Eathan Bosch b Bjorn Fortuin 27(25) [4s-1 6s-1]</b>"
1788275605340,$undefined,2,ZIM,,,"<b>17:13 Local Time, 15:13 GMT, 20:43 IST:</b> Chasing 186 was never going to be easy for Zimbabwe and they have fallen short by 43 runs. Brian Bennett got them off to a quick start in the first couple of overs, but a double-wicket maiden from skipper Bjorn Fortuin derailed the powerplay, from which they could never recover. There was another decisive phase just after the powerplay when Duan Jansen picked up three wickets in four balls across two overs, which almost sealed the game in South Africa's favour. Sikandar Raza started scratchily, but his knock of 45, along with some lusty blows from Newman Nyamhuri, ensured the margin of defeat was much smaller. Earlier, Lhuan-dre Pretorius smashed a 94 and was involved in a couple of 50-plus stands for the first two wickets, setting up South Africa's 185. The bowlers, led by Jansen and Fortuin, who shared seven wickets between them, then defended the total comfortably. Presentations coming up.."
1788275939675,$undefined,2,ZIM,,,$2a
1788276773579,$undefined,2,ZIM,,,$29
1788276991584,$undefined,2,ZIM,,,$28
1788277101375,$undefined,2,ZIM,,,"That's all from this game. We will be back after a day's break for the Zimbabwe v Namibia encounter - a game that could decide who makes it to the final. Until next time, goodbye and stay safe.."
