Ball ID,Over/Ball,Innings,Team,Batsman,Bowler,Commentary
1787373787097,$undefined,$undefined,,,,"<b>Sri Lanka</b> Squad: Lahiru Udara, Kamil Mishara, Pasindu Sooriyabandara, Kamindu Mendis, Dhananjaya de Silva(c), Sahan Arachchige, Sonal Dinusha, Niroshan Dickwella(w), Keshara Nuwantha, Prabath Jayasuriya, Milan Priyanath Rathnayake, Lahiru Kumara, Asitha Fernando, Vishwa Fernando"
1787373847073,$undefined,$undefined,,,,"<b>India</b> Squad: Yashasvi Jaiswal, KL Rahul, Devdutt Padikkal, Shubman Gill(c), Rishabh Pant(w), Dhruv Jurel, Ravindra Jadeja, Manav Suthar, Mohammed Siraj, Kuldeep Yadav, Prasidh Krishna, Sarfaraz Khan, Saransh Jain, Auqib Nabi, Gurnoor Brar"
1787373849284,$undefined,$undefined,,,,<b>Squads:</b>
1787373849294,$undefined,$undefined,,,,$28
1787455066330,$undefined,$undefined,,,,"<b>08:45 Local Time, 03:15 GMT:</b> India arrived in Sri Lanka looking to get their World Test Championship campaign back on track. They had nine Tests left before the series and needed to win around seven to give themselves a strong chance of qualifying for the final. They have made a good start, beating Sri Lanka by 165 runs in Galle. They now come to the SSC with momentum and an opportunity to clinch the series 2-0. Sri Lanka were dealt two big blows before the first Test with Pathum Nissanka and Kusal Mendis ruled out, but they gave a good account of themselves in Galle. Sonal Dinusha was their standout performer, scoring a hundred in the first innings and 84 in the second, and they will hope there is more to come from their younger players. A win would level the series and give them plenty to build on. Hello and welcome to the second Test.."
1787455314919,$undefined,$undefined,,,,"""Good morning from Colombo. It's bright and extremely hot already here,"" greets <b>Prakash Govindasreenivasan</b> from the ground. ""On the side pitch, Gurnoor Brar is the first to come and bowl. But he did that in Galle too - leading up to the toss and in almost every session break he'd be one of the first to get some bowling. Prasidh Krishna meanwhile has just marked his run-up from one end, while Jadeja, Gambhir and Kotak take a closer look at one end of the pitch,"" he adds."
1787455482469,$undefined,$undefined,,,,"For Sri Lanka, there was no bigger positive than Sonal Dinusha. His 100 and 84 were the main reason Sri Lanka stayed in the contest for as long as they did. He was positive against India's spinners, used his feet well and brought the sweep into play regularly. The other positive was debutant Keshar Nuwantha. The off-spinner bowled long spells in both innings and was even given the new ball in the second innings. He finished with four wickets in the match, and his willingness to bowl long spells gave Sri Lanka another option in the attack."
1787455495789,$undefined,$undefined,,,,"India won the Test by a big margin, but two things stood out. Devdutt Padikkal grabbed his opportunity at number three in the absence of Sai Sudharsan, while Manav Suthar established himself as India's lead spinner. Padikkal was particularly good against spin. He used the depth of the crease well, moved his feet when required and brought out the sweep regularly. His ability to play spin with confidence was one of the highlights of the Test. His 167 and 44 were the cornerstones of India's victory and earned him the Player of the Match award. Suthar, meanwhile, followed up his five-wicket haul on debut against Afghanistan with another strong performance. He finished with 10 wickets in only his second Test. The left-arm orthodox spinner kept things simple, giving the ball plenty of flight and looking to beat the batters in the air rather than relying heavily on variations."
1787455507107,$undefined,$undefined,,,,<b>The Positives</b>
1787455885539,$undefined,$undefined,,,,"<b>Possible changes</b> - The major talking point for India is whether their spin department is too one-dimensional. Jadeja, Suthar and Kuldeep are all left-arm spinners, and while they offer different styles, there is no off-spin option in the XI. Saransh Jain is the obvious player who could provide that variety. The question is whether India feel the need for a different type of spinner at the SSC and, if so, who makes way. Would they leave out Kuldeep, or reduce the pace attack to accommodate another spinner?"
1787455938810,$undefined,$undefined,,,,"Here's Prakash with an update on Kuldeep - Kuldeep is out here now but he didn't train since arriving from Galle. Two days out was India's full session, where he asked for a rest. Yesterday was an optional hit where he once again was absent. Bahutule and Gambhir praised him and his quality but neither indicated that the wrist spinner is indispensible."
