Ball ID,Over/Ball,Innings,Team,Batsman,Bowler,Commentary
1790341818207,12.5,2,GH,Richmond Baaleri,Aliya Kamara,"Aliya Kamara to Richmond Baaleri, no run"
1790341827367,$undefined,2,GH,Richmond Baaleri,Aliya Kamara,"Aliya Kamara to Richmond Baaleri, <b>THATS OUT!!</b> Caught!!"
1790341828204,12.6,2,GH,Richmond Baaleri,Aliya Kamara,"Aliya Kamara to Richmond Baaleri, <b>out</b> Caught by Ibrahim Kpaka!! <b>Richmond Baaleri c Ibrahim Kpaka b Aliya Kamara 14(24)</b>"
1790341837355,$undefined,2,GH,Joseph Theodore,Mohamed Turay,"<b>Obed Harvey, left handed bat, comes to the crease</b>"
1790341843895,$undefined,2,GH,Joseph Theodore,Samuel Conteh,"<b>Samuel Conteh, right-arm medium, comes into the attack</b>"
1790341862465,13.1,2,GH,Joseph Theodore,Samuel Conteh,"Samuel Conteh to Joseph Theodore, no run"
1790341862842,13.2,2,GH,Joseph Theodore,Samuel Conteh,"Samuel Conteh to Joseph Theodore, no run"
1790341864450,13.3,2,GH,Joseph Theodore,Samuel Conteh,"Samuel Conteh to Joseph Theodore, 1 run"
1790341865862,13.4,2,GH,Obed Harvey,Samuel Conteh,"Samuel Conteh to Obed Harvey, 1 run"
1790341867371,13.5,2,GH,Joseph Theodore,Samuel Conteh,"Samuel Conteh to Joseph Theodore, 1 run"
1790341868777,13.6,2,GH,Obed Harvey,Samuel Conteh,"Samuel Conteh to Obed Harvey, 1 run"
1790341877048,$undefined,2,GH,Obed Harvey,George Sesay,<b>George Sesay [2.0-0-17-1] is back into the attack</b>
1790341894036,14.1,2,GH,Obed Harvey,George Sesay,"George Sesay to Obed Harvey, no run"
1790341894366,14.2,2,GH,Obed Harvey,George Sesay,"George Sesay to Obed Harvey, no run"
1790341895761,14.3,2,GH,Obed Harvey,George Sesay,"George Sesay to Obed Harvey, 1 run"
1790341897165,14.4,2,GH,Joseph Theodore,George Sesay,"George Sesay to Joseph Theodore, 2 runs"
1790341898381,14.5,2,GH,Joseph Theodore,George Sesay,"George Sesay to Joseph Theodore, <b>wide</b>"
1790341900728,14.5,2,GH,Joseph Theodore,George Sesay,"George Sesay to Joseph Theodore, 1 run"
1790341902042,14.6,2,GH,Obed Harvey,George Sesay,"George Sesay to Obed Harvey, 1 run"
1790342227309,$undefined,2,GH,,,<b>Result- Sierra Leone won by 13 runs (DLS Method)</b>
