Over/Ball,Innings,Team,Batsman,Bowler,Commentary
41.6,2,NZ,Jayden Lennox,Matthew Forde,"Matthew Forde to Jayden Lennox, no run, and he survives! Jayden Lennox defends it down into the off-side"
42.1,2,NZ,Mitchell Santner,Jayden Seales,"Jayden Seales to Mitchell Santner, no run, defends it down into the off-side as that was a length delivery"
42.2,2,NZ,Mitchell Santner,Jayden Seales,"Jayden Seales to Mitchell Santner, no run, pats it down into the off-side and finds cover"
42.3,2,NZ,Mitchell Santner,Jayden Seales,"Jayden Seales to Mitchell Santner, no run, on a length, outside off, defends it down to point"
42.4,2,NZ,Mitchell Santner,Jayden Seales,"Jayden Seales to Mitchell Santner, no run, fuller length delivery, outside off, Mitchell Santner looks to drive and misses. The ball beats the edge not by much. Still 3 needed"
42.5,2,NZ,Mitchell Santner,Jayden Seales,"Jayden Seales to Mitchell Santner, 2 runs, two men converge! The catch goes down. The man from cover ran back. The man from deep cover ran in. The two almost collided. The ball goes down. They get a couple. <b>The scores are level.</b> <i>This is a huge moment in the game. Massive moment indeed.</i> Greaves was running back but he only collided to ensure the ball was never easy to grab. That was a length delivery, outside off, lofted by the southpaw and that hung in the air for a long time"
42.6,2,NZ,Mitchell Santner,Jayden Seales,"Jayden Seales to Mitchell Santner, no run, on a length, Mitchell Santner defends it down to mid-off. That was on the sticks. On to Jayden Lennox"
43.1,2,NZ,Jayden Lennox,Vitel Lawes,"Vitel Lawes to Jayden Lennox, no run, flatter one, beats the edge. The review was taken. That was flatter, Jayden Lennox looked to defend and got beaten"
43.2,2,NZ,Jayden Lennox,Vitel Lawes,"Vitel Lawes to Jayden Lennox, no run, tossed up delivery, driven down to cover"
43.3,2,NZ,Jayden Lennox,Vitel Lawes,"Vitel Lawes to Jayden Lennox, no run, flatter one, outside off, stabbed down to point"
43.4,2,NZ,Jayden Lennox,Vitel Lawes,"Vitel Lawes to Jayden Lennox, no run, tossed up delivery, pushed back to the bowler as that was on the sticks"
43.5,2,NZ,Jayden Lennox,Vitel Lawes,"Vitel Lawes to Jayden Lennox, no run, gets behind the line of the delivery and defends it. One ball for him to survive"
43.6,2,NZ,Jayden Lennox,Vitel Lawes,"Vitel Lawes to Jayden Lennox, no run, <i>poor review. Desperate one.</i> That was flatter, on the sticks, Jayden Lennox defends it and was hit on the pads but the ball was missing the sticks. That was the last throw of the dice from the hosts. <i>They so wanted this to be OUT!</i>"
44.1,2,NZ,Mitchell Santner,Jayden Seales,"Jayden Seales to Mitchell Santner, 1 run, lofted and sent over the infield. That landed in no man's land. They get a single. The target has been achieved. <b>NZ take the series 3-1.</b> That was mistimed and sent over the infield. He didn't control it but did enough to send it over. The skipper has done it for the Kiwis"
