Ball ID,Over/Ball,Innings,Team,Batsman,Bowler,Commentary
1784902383437,$undefined,$undefined,,,,"<b>West Indies</b> Squad: Brandon King, Tagenarine Chanderpaul, Kavem Hodge, Shai Hope, Amir Jangoo, Joshua Da Silva(w), Roston Chase(c), Jomel Warrican, Shamar Joseph, Kemar Roach, Jayden Seales, Kirk McKenzie, Joshua Bishop, Keemo Paul, Justin Greaves"
1784902561385,$undefined,$undefined,,,,"<b>Pakistan</b> Squad: Azan Awais, Imam-ul-Haq, Shan Masood, Babar Azam(c), Abdullah Fazal, Awais Zafar, Mohammad Rizwan(w), Salman Agha, Aamer Jamal, Sajid Khan, Mohammad Ali, Mohammad Abbas, Khurram Shahzad, Ghazi Ghori, Ubaid Shah, Ali Usman, Saud Shakeel"
1784902562774,$undefined,$undefined,,,,<b>Squads:</b>
1784984415235,$undefined,$undefined,,,,"<b>09:00 local, 13:00 GMT, 18:30 IST:</b>"
1784984553805,$undefined,$undefined,,,,"West Indies head into the series on the back of a convincing Test series win over Sri Lanka just a month ago and will look to build on that momentum in familiar conditions. Pakistan, meanwhile, begin another phase with Babar Azam back at the helm, hoping the leadership change can bring better results after a difficult period in red-ball cricket. With valuable World Test Championship points up for grabs, neither side can afford a slow start."
1784984638448,$undefined,$undefined,,,,"There is also plenty of interest around how this surface behaves over the next five days, with the slower bowlers expected to have a role as the match progresses. The forecast carries a slight chance of rain throughout the Test, including from the second session today. Let's hope the weather stays away and allows for an uninterrupted contest. Toss and team news coming up shortly, stay tuned..."
1784988373494,0.4,1,WI,Tagenarine Chanderpaul,Mohammad Abbas,"Abbas to Chanderpaul, no run, 126ks back of a length just outside off, Chanderpaul stays on the back foot and blocks with soft hands"
1784988408631,0.5,1,WI,Tagenarine Chanderpaul,Mohammad Abbas,"Abbas to Chanderpaul, no run, full and in the teasing channel wide of off at 125ks, Chanderpaul keeps his calm and lets it go"
1784988444721,0.6,1,WI,Tagenarine Chanderpaul,Mohammad Abbas,"Abbas to Chanderpaul, no run, length delivery a shade outside off at 127ks, Chanderpaul sits back to block it solidly"
1784988517222,$undefined,1,WI,Brandon King,Khurram Shahzad,"<b>Khurram Shahzad, right-arm medium, comes into the attack</b>"
1784988518779,1.1,1,WI,Brandon King,Khurram Shahzad,"Khurram Shahzad to Brandon King, no run, good length asking for off stump at 134ks, King with a gentle nudge into the leg-side"
1784988553366,$undefined,1,WI,,,"Three slips, a gully and a short leg for Khurram Shahzad"
1784988554700,1.2,1,WI,Brandon King,Khurram Shahzad,"Khurram Shahzad to Brandon King, no run, full on off stump at 131ks, King checks his drive to the right of the fielder at short extra cover"
1784988591522,1.3,1,WI,Brandon King,Khurram Shahzad,"Khurram Shahzad to Brandon King, no run, short of length outside off, King shuffles across off and shoulders arms"
1784988638012,1.4,1,WI,Brandon King,Khurram Shahzad,"Khurram Shahzad to Brandon King, 2 runs, 127ks rising back of a length delivery on the stumps, King looks to nudge and gets it off the splice into the mid-wicket pocket. Off the mark with a double..."
1784988675465,1.5,1,WI,Brandon King,Khurram Shahzad,"Khurram Shahzad to Brandon King, no run, pitched up just outside off, King pushes the drive towards backward point"
1784988714287,1.6,1,WI,Brandon King,Khurram Shahzad,"Khurram Shahzad to Brandon King, no run, good length on off, at 130ks, King blocks it from the crease"
1784988774107,2.1,1,WI,Tagenarine Chanderpaul,Mohammad Abbas,"Abbas to Chanderpaul, no run, angles it in from round the wicket and gets the ball to seam in sharply with a hint of extra bounce, draws Chanderpaul into a poke and takes it <b>past the outside-edge</b>"
1784988814114,2.2,1,WI,Tagenarine Chanderpaul,Mohammad Abbas,"Abbas to Chanderpaul, no run, on a length outside off at 128ks, Chanderpaul sits on the back foot and defends to the right of cover"
1784988850306,2.3,1,WI,Tagenarine Chanderpaul,Mohammad Abbas,"Abbas to Chanderpaul, no run, full and just outside off at 127ks, Chanderpaul gets forward and blocks to short extra cover"
1784988889228,2.4,1,WI,Tagenarine Chanderpaul,Mohammad Abbas,"Abbas to Chanderpaul, no run, good length on off at 124ks, Chanderpaul gets across and bunts it back to the bowler"
1784988926702,2.5,1,WI,Tagenarine Chanderpaul,Mohammad Abbas,"Abbas to Chanderpaul, no run, 126ks length delivery angling down the leg-side, Chanderpaul does not bother with it"
1784988964360,2.6,1,WI,Tagenarine Chanderpaul,Mohammad Abbas,"Abbas to Chanderpaul, no run, 125ks length delivery just outside off, Chanderpaul plays inside the line and lets it go"
1784989019443,3.1,1,WI,Brandon King,Khurram Shahzad,"Khurram Shahzad to Brandon King, no run, 132ks good length on off, King gets forward and pushes it to cover"
1784989064650,3.2,1,WI,Brandon King,Khurram Shahzad,"Khurram Shahzad to Brandon King, 2 runs, 131ks pitched up wide of off, King leans into the drive and times sweetly in the gap to the left of cover. Easy two..."
1784989103044,3.3,1,WI,Brandon King,Khurram Shahzad,"Khurram Shahzad to Brandon King, no run, length ball in the channel outside off at 128ks, King covers his off stump and shoulders arms"
1784989143835,3.4,1,WI,Brandon King,Khurram Shahzad,"Khurram Shahzad to Brandon King, no run, short and wide of off at 126ks, nothing doing from King"
1784989197271,3.5,1,WI,Brandon King,Khurram Shahzad,"Khurram Shahzad to Brandon King, 3 runs, <b>up and over the fielder!</b> King's heart would have been in his mouth for a fleeting moment there. 132ks fullish outside off, King chips the drive past the leaping left hand of Masood at short mid-off. Just past the fingertips, it was that close..."
1784989259927,3.6,1,WI,Tagenarine Chanderpaul,Khurram Shahzad,"Khurram Shahzad to Chanderpaul, no run, short of length outside off, left alone to the keeper"
1784989320928,4.1,1,WI,Brandon King,Mohammad Abbas,"Abbas to Brandon King, no run, 125ks length delivery swinging away in the channel outside off, King lets it pass"
1784989357421,4.2,1,WI,Brandon King,Mohammad Abbas,"Abbas to Brandon King, no run, full outside off at 124ks, King strides across and shoulders arms"
1784989394950,4.3,1,WI,Brandon King,Mohammad Abbas,"Abbas to Brandon King, no run, pitched up on off at 128ks, King prods across and pings it to short mid-wicket"
1784989432932,4.4,1,WI,Brandon King,Mohammad Abbas,"Abbas to Brandon King, no run, good length on off at 125ks, King leans across and blocks into the on-side"
1784989471780,4.5,1,WI,Brandon King,Mohammad Abbas,"Abbas to Brandon King, no run, full and veering in towards off at 126ks, King pins the drive to the left of short mid-wicket"
1784989514935,4.6,1,WI,Brandon King,Mohammad Abbas,"Abbas to Brandon King, <b>FOUR</b>, that is a flashy drive from Brandon King! Goes really hard against the full ball and sends the outside-edge flying past gully to his right"
1784989570427,5.1,1,WI,Tagenarine Chanderpaul,Khurram Shahzad,"Khurram Shahzad to Chanderpaul, no run, 127ks good length on off, Chanderpaul gets forward and defends it with soft hands"
1784989605505,5.2,1,WI,Tagenarine Chanderpaul,Khurram Shahzad,"Khurram Shahzad to Chanderpaul, no run, good length with a hint of extra bounce just outside off at 131ks, Chanderpaul jumps inside the crease and taps into the off-side"
1784988007577,$undefined,$undefined,,,,Conditions pretty gloomy as they players stride out to the centre. Abbas to kickstart proceedings with the ball. Oh hang on! Looks like there is an issue behind the bowler's arm. Umpire Richard Kettleborough sends the message across to the groundstaff to get the sightscreen sorted. A case of advertising screen malfunctioning. It's all sorted now and we are good to go...
1784988269992,$undefined,1,WI,,,<b>Chanderpaul and Brandon King are at the crease. Chanderpaul is on strike. Abbas will open the attack</b>
1784988275306,0.1,1,WI,Tagenarine Chanderpaul,Mohammad Abbas,"Abbas to Chanderpaul, no run, good length swinging away just outside off, Chanderpaul shuffles across and taps with soft hands"
1784988295757,$undefined,1,WI,,,"Three slips, gully and a deep short leg in place...."
1784988301862,0.2,1,WI,Tagenarine Chanderpaul,Mohammad Abbas,"Abbas to Chanderpaul, no run, moves across off and dabs the length delivery to the left of backward point"
1784988349850,0.3,1,WI,Tagenarine Chanderpaul,Mohammad Abbas,"Abbas to Chanderpaul, no run"
1784989645779,5.3,1,WI,Tagenarine Chanderpaul,Khurram Shahzad,"Khurram Shahzad to Chanderpaul, no run"
1784989697967,5.4,1,WI,Tagenarine Chanderpaul,Khurram Shahzad,"Khurram Shahzad to Chanderpaul, no run"
