Ball ID,Over/Ball,Innings,Team,Batsman,Bowler,Commentary
1784469615868,$undefined,2,BAN,Tanzid Hasan Tamim,Brad Evans,<b>Brad Evans [3.0-0-21-0] is back into the attack</b>
1784469639612,$undefined,2,BAN,,,Zimbabwe have been penalised for slow over-rate. There will be five fielders inside the ring for the final over. Bangladesh need 5 off the last 6 balls.
1784469689199,19.1,2,BAN,Tanzid Hasan Tamim,Brad Evans,"Brad Evans to Tanzid Hasan Tamim, 1 run, a low full-toss angling across Tanzid. He reaches out and slices it to deep backward point"
1784469752349,$undefined,2,BAN,Mosaddek Hossain,Brad Evans,"Brad Evans to Mosaddek Hossain, <b>THATS OUT!!</b> Bowled!!"
1784469753432,19.2,2,BAN,Mosaddek Hossain,Brad Evans,"Brad Evans to Mosaddek Hossain, <b>out</b> Bowled!! <b>Knocked him over!</b> The crowd has come alive! A low full-toss angling in on off, Mosaddek clears his front leg and tries to smash it through covers but gets beaten on the under-edge and the ball crashes into the base of the off-stump. He would be gutted with himself for missing a straight one. This game is not over yet. <b>Mosaddek Hossain b Brad Evans 1(3)</b>"
1784469796570,$undefined,2,BAN,Saifuddin,Brad Evans,"<b>Mohammad Saifuddin, left handed bat, comes to the crease</b>"
1784469839078,$undefined,2,BAN,,,<b>4 neeed off 4 deliveries</b>
1784469890361,$undefined,2,BAN,Saifuddin,Brad Evans,"Brad Evans to Saifuddin, <b>THATS OUT!!</b> Caught!!"
1784469891290,19.3,2,BAN,Mohammad Saifuddin,Brad Evans,"Brad Evans to Saifuddin, <b>out</b> Caught by Ryan Burl!! <b>Two in two for Evans!</b> Bangladesh are making life difficult for themselves! Fuller length delivery shaping across Saifuddin. He shuffles across and mistimes his expansive shot over wide mid-on. Burl runs in from the deep and takes it easily. This is turning out to be a nail-biter. <b>Saifuddin c Ryan Burl b Brad Evans 0(1)</b>"
1784469939832,$undefined,2,BAN,Mahedi Hasan,Brad Evans,"<b>Mahedi Hasan, right handed bat, comes to the crease</b>"
