Ball ID,Over/Ball,Innings,Team,Batsman,Bowler,Commentary
1784815723579,11.5,2,IND,Tilak Varma,Blessing Muzarabani,"Blessing Muzarabani to Tilak Varma, <b>FOUR</b>, what should have been a single is now four! Tilak cut this short of length delivery straight to third man, fielder was even down on one knee and waiting for the ball that came straight him but he still managed to fumble despite trying to get the body behind the line"
1784815757509,11.6,2,IND,Tilak Varma,Blessing Muzarabani,"Blessing Muzarabani to Tilak Varma, no run, short of length delivery outside off stump, Tilak defends off the back foot"
1784815812494,$undefined,2,IND,Shreyas Iyer,Sikandar Raza,<b>Sikandar Raza [2.0-0-9-0] is back into the attack</b>
1784815822141,12.1,2,IND,Shreyas Iyer,Sikandar Raza,"Sikandar Raza to Shreyas Iyer, 2 runs, good length delivery on the stumps, Shreyas works it to deep mid-wicket"
1784815843291,12.2,2,IND,Shreyas Iyer,Sikandar Raza,"Sikandar Raza to Shreyas Iyer, no run, driven off the front foot to the right of the bowler"
1784815860091,12.3,2,IND,Shreyas Iyer,Sikandar Raza,"Sikandar Raza to Shreyas Iyer, 1 run, shortish delivery, Shreyas pulls to deep mid-wicket"
1784815914328,12.4,2,IND,Tilak Varma,Sikandar Raza,"Sikandar Raza to Tilak Varma, 1 run, turning away outside off stump, cut to deep cover"
1784815938446,12.5,2,IND,Shreyas Iyer,Sikandar Raza,"Sikandar Raza to Shreyas Iyer, no run, googly outside off stump, Shreyas opens the bat face and guides it to backward point"
1784815961764,12.6,2,IND,Shreyas Iyer,Sikandar Raza,"Sikandar Raza to Shreyas Iyer, 1 run, shortish delivery outside off stump, Shreyas cuts to deep backward point"
1784816013155,$undefined,2,IND,Shreyas Iyer,Richard Ngarava,<b>Richard Ngarava [2.0-0-27-1] is back into the attack</b>
1784816022900,13.1,2,IND,Shreyas Iyer,Richard Ngarava,"Richard Ngarava to Shreyas Iyer, 1 run, short of length delivery outside off stump, Shreyas looks to cut and mistimes, under edge rolls to third man"
1784816057515,13.2,2,IND,Tilak Varma,Richard Ngarava,"Richard Ngarava to Tilak Varma, <b>wide</b>, shortish delivery down the leg-side. <b>Scores level</b>"
1784816094472,13.2,2,IND,Tilak Varma,Richard Ngarava,"Richard Ngarava to Tilak Varma, 1 run, a tuck to the on-side through mid-wicket and <b>Shreyas Iyer finally wins a T20I as captain in his 8th attempt</b>"
1784816285339,$undefined,2,IND,,,"<b>16:16 Local Time, 14:16 GMT, 19:46 IST:</b> After Ireland and England, this should ease some pressure on the Indian team and they were quite bossy today. Shreyas also manages to end the streak of winning tosses and losing games. The team is happy and from now they will be keen to build on this win. They opted to bat and exploited anything the pitch had in store for the bowlers. Mayank Yadav breathed fire. Zimbabwe were threatened. Batters hardly tried to get behind the line and play. That fear forced them to slip early. All three pacers bowled well to reduce the hosts to 32/4. Middle-order tried to build something substantial but they fell well short. And in reply, <b>Vaibhav</b> got the team off to a flier and <b>got his maiden fifty in international cricket off 19 balls.</b> Ishan Kishan ensured the scoring didn't slow down and Shreyas gave him decent company too. With this clinical and easy win, India go 1-0 up with two games to go."
1784816549196,$undefined,2,IND,,,"<b>Prince Yadav (translated from Hindi):</b> I'm very happy with my performance. But even more importantly, we won the match. [On the surface] There was quite a bit of assistance at the start. If you bowled the right length, the ball carried nicely and nipped around a little. The key for us was to keep hitting those lengths consistently till the end, and that worked in our favour. [On the young pace unit] We performed well as a bowling unit too. Mayank bowled well, Ashok bowled well - in fact, all our fast bowlers bowled really well. The most important thing is that we won the match, and that feels great. The coaches and Shreyas kept telling us one thing - bowl the right lengths. If a batter hits a good shot off a good ball, that's absolutely fine. We have no problem with that. But as long as we keep bowling good balls consistently, everything remains in our control."
1784816549206,$undefined,2,IND,,,"<b>Stats by Roshan Gede</b><br><br><b>Longest streak of winning the toss but going winless as captain in T20Is</b><br>7 - Prakash Mishra (Bulgaria, 2021)<br>7 - Shreyas Iyer (IND, 2026) - streak ended today<br>6 - Hernan Fennell (Argentina, 2021-2023)<br><br><b>Longest winless sequences for India in T20Is</b><br>7 - June 2026 - July 2026 (6 defeats, 1 NR) - streak ended today<br>4 - June 2009 - December 2009 (4 defeats)<br>4 - July 2021 - October 2021 (4 defeats) <br><br><b>Most balls remaining in a 120-plus chase for India in T20Is</b><br>60 vs NZ, Guwahati, 2026 (T: 154)<br>49 vs BAN, Gwalior, 2024 (T: 128)<br>43 vs ENG, Kolkata, 2025 (T: 133)<br>40 vs ZIM, Harare, 2026 (T:126)"
1784816966724,$undefined,2,IND,,,$29
1784817072577,$undefined,2,IND,,,"<b>Mayank Yadav | PoTM:</b> [How are you feeling?] It feels great to contribute to the country in a win. It's a great feeling, especially coming back after a very long interval. It's a very special moment for me. [On the conditions] The wicket was pretty good. I was enjoying a lot bowling on this wicket, especially after playing in India. It's the first time I'm playing in Zimbabwe. I was getting good help from the wicket. The biggest difference was the bounce I got today and the ball was also swinging. I was just hitting the deck and the bounce I was getting was great. [On his fellow seamers] We got the wicket off the first ball. The others kept squeezing more and more in their spells and that helped us to keep them to 120 (125)."
1784817186665,$undefined,2,IND,,,$28
1784817435069,$undefined,2,IND,,,"Shreyas is a happy captain. The bowlers set this up and the batters finished the job easily. Toss did play a crucial role today. In Zimbabwe, bowling first has always been the mantra for teams as bowlers get extra assistance in the first innings compared to the second innings due to the early moisture on the surface. The Indian pace trio of Mayank, Ashok and Prince hit the spots to the T and had the Zimbabwean batters dancing at the crease. They troubled the hosts with pace, bounce and seam movement as well. India ticked a lot of boxes in this game. Can Zimbabwe pose a serious challenge in the next game? We will be back on Saturday for answers, same time, same venue. Goodnight!"
